<excluded_species>	 <avg_excluded_species>	<avg_rest_of_family>	  <stdev_rest_of_family>	 <#_of_stdev_away>
Enterobacillus tribolii	0.9182	0.9455	0.009679	2.821
Salmonella enterica subsp. enterica	0.9543	0.9452	0.009975	0.9123
Enterobacter cancerogenus	0.9598	0.9451	0.009916	1.482
Klebsiella michiganensis	0.9426	0.9453	0.01001	0.2697
Citrobacter murliniae	0.9586	0.9451	0.009931	1.359
Escherichia marmotae	0.9441	0.9453	0.01001	0.1199
Mangrovibacter plantisponsor	0.939	0.9453	0.009994	0.6304
Pseudocitrobacter faecalis	0.9505	0.9452	0.009999	0.5301
Escherichia albertii	0.9435	0.9453	0.01001	0.1798
Enterobacter hormaechei subsp. hormaechei	0.9516	0.9452	0.009993	0.6404
Cronobacter turicensis	0.9432	0.9453	0.01001	0.2098
Enterobacter kobei	0.9529	0.9452	0.009985	0.7712
Phytobacter diazotrophicus	0.9401	0.9453	0.009999	0.5201
Buttiauxella izardii	0.9516	0.9452	0.009993	0.6404
Kosakonia cowanii	0.9464	0.9452	0.01001	0.1199
Kosakonia arachidis	0.9434	0.9453	0.01001	0.1898
Enterobacter asburiae	0.9551	0.9452	0.009968	0.9932
Klebsiella singaporensis	0.9396	0.9453	0.009997	0.5702
Klebsiella pneumoniae subsp. pneumoniae	0.9536	0.9452	0.00998	0.8417
Citrobacter rodentium	0.9426	0.9453	0.01001	0.2697
Rosenbergiella nectarea	0.9257	0.9454	0.009839	2.002
Enterobacter cloacae subsp. cloacae	0.9554	0.9452	0.009965	1.024
Cronobacter universalis	0.9466	0.9452	0.01001	0.1399
Enterobacter bugandensis	0.9551	0.9452	0.009968	0.9932
Citrobacter pasteurii	0.9522	0.9452	0.00999	0.7007
Kosakonia radicincitans	0.9011	0.9456	0.0091	4.89
Cronobacter dublinensis subsp. dublinensis	0.9476	0.9452	0.01001	0.2398
Klebsiella pneumoniae subsp. rhinoscleromatis	0.9527	0.9452	0.009986	0.7511
Shigella flexneri	0.9502	0.9452	0.01	0.5
Pluralibacter gergoviae	0.9474	0.9452	0.01001	0.2198
Pseudocitrobacter anthropi	0.9482	0.9452	0.01001	0.2997
