Acholeplasma axanthum	0.8495	0.8550	0.02060	0.2670
Acholeplasma granularum	0.8844	0.8521	0.01860	1.737
Acholeplasma laidlawii	0.8629	0.8538	0.02050	0.4439
Acholeplasma morum	0.8694	0.8533	0.02016	0.7986
Acholeplasma vituli	0.8605	0.8540	0.02057	0.3160
Acholeplasma hippikon	0.8642	0.8537	0.02045	0.5134
Acholeplasma modicum	0.8332	0.8563	0.01963	1.177
Acholeplasma brassicae	0.8442	0.8554	0.02042	0.5485
Acholeplasma parvum	0.8543	0.8546	0.02065	0.01453
Acholeplasma cavigenitalium	0.8133	0.8580	0.01652	2.706
Acholeplasma pleciae	0.8808	0.8524	0.01909	1.488
Acholeplasma palmae	0.8276	0.8568	0.0190	1.537
Acholeplasma equifetale	0.8647	0.8537	0.02043	0.5384
