Granulicella paludicola	0.9117	0.9137	0.007937	0.2520
Acidobacterium ailaaui	0.9111	0.9138	0.00793	0.3405
Granulicella cerasi	0.9058	0.9139	0.00780	1.038
Terriglobus tenax	0.9242	0.9133	0.007682	1.419
Granulicella rosea	0.9126	0.9137	0.007943	0.1385
Granulicella mallensis	0.9226	0.9133	0.007757	1.199
Terriglobus saanensis	0.9170	0.9135	0.007919	0.4420
Acidipila rosea	0.9174	0.9135	0.007913	0.4929
Acidipila dinghuensis	0.9185	0.9135	0.007891	0.6336
Terriglobus albidus	0.9201	0.9134	0.007848	0.8537
Granulicella sapmiensis	0.9233	0.9133	0.007726	1.294
Occallatibacter riparius	0.9238	0.9133	0.007702	1.363
Granulicella aggregans	0.9176	0.9135	0.007909	0.5184
Terracidiphilus gabretensis	0.9168	0.9135	0.007922	0.4166
Granulicella tundricola	0.9185	0.9135	0.007891	0.6336
Terriglobus roseus	0.9082	0.9139	0.007876	0.7237
Acidobacterium capsulatum	0.9023	0.9141	0.007639	1.545
Edaphobacter dinghuensis	0.9144	0.9136	0.007944	0.1007
Acidicapsa ligni	0.9181	0.9135	0.007899	0.5824
Terriglobus aquaticus	0.9107	0.9138	0.007925	0.3912
Edaphobacter aggregans	0.9114	0.9137	0.007934	0.2899
Acidicapsa acidisoli	0.9125	0.9137	0.007942	0.1511
Occallatibacter savannae	0.9202	0.9134	0.007845	0.8668
Bryocella elongata	0.9139	0.9137	0.007945	0.02517
Granulicella pectinivorans	0.9198	0.9134	0.007857	0.8146
Acidicapsa borealis	0.9012	0.9141	0.007576	1.703
Granulicella arctica	0.9026	0.9141	0.007656	1.502
Silvibacterium bohemicum	0.9108	0.9138	0.007926	0.3785
Telmatobacter bradus	0.8890	0.9145	0.006375	4
