Actinopolyspora saharensis	0.9461	0.9450	0.03282	0.03352
Haloactinomyces albus	0.8461	0.9541	0.01028	10.51
Actinopolyspora mzabensis	0.9584	0.9439	0.03256	0.4453
Actinopolyspora biskrensis	0.9470	0.9449	0.03282	0.06399
Actinopolyspora salinaria	0.9589	0.9438	0.03254	0.4640
Actinopolyspora lacussalsi	0.9570	0.9440	0.03261	0.3987
Actinopolyspora halophila	0.9457	0.9450	0.03282	0.02133
Actinopolyspora mortivallis	0.9352	0.9460	0.03268	0.3305
Actinopolyspora xinjiangensis	0.9638	0.9434	0.03229	0.6318
Actinopolyspora algeriensis	0.9462	0.9450	0.03282	0.03656
Actinopolyspora righensis	0.9703	0.9428	0.03185	0.8634
Actinopolyspora erythraea	0.9664	0.9432	0.03213	0.7221
