Alcanivorax dieselolei	0.9176	0.8918	0.02038	1.266
Alcanivorax pacificus	0.8897	0.8941	0.02156	0.2041
Alcanivorax nanhaiticus	0.9080	0.8926	0.02117	0.7274
Alcanivorax xenomutans	0.9042	0.8929	0.02137	0.5288
Alcanivorax gelatiniphagus	0.9060	0.8928	0.02128	0.6203
Pseudohongiella nitratireducens	0.8815	0.8948	0.02128	0.625
Alcanivorax venustensis	0.9016	0.8931	0.02147	0.3959
Alcanivorax jadensis	0.8995	0.8933	0.02153	0.2880
Pseudohongiella acticola	0.8634	0.8963	0.01957	1.681
Alcanivorax hongdengensis	0.9043	0.8929	0.02136	0.5337
Alcanivorax marinus	0.8971	0.8935	0.02157	0.1669
Pseudohongiella spirulinae	0.8384	0.8984	0.01377	4.357
Alcanivorax balearicus	0.9078	0.8926	0.02118	0.7177
