Alicyclobacillus dauci	0.8884	0.8669	0.01482	1.451
Alicyclobacillus ferrooxydans	0.8766	0.8673	0.01519	0.6122
Effusibacillus consociatus	0.8557	0.8679	0.01513	0.8063
Alicyclobacillus sendaiensis	0.8800	0.8672	0.01511	0.8471
Alicyclobacillus cellulosilyticus	0.8492	0.8681	0.01492	1.267
Alicyclobacillus kakegawensis	0.8679	0.8675	0.01527	0.02620
Tumebacillus luteolus	0.8553	0.8679	0.01512	0.8333
Alicyclobacillus herbarius	0.8731	0.8674	0.01524	0.3740
Alicyclobacillus tengchongensis	0.8685	0.8675	0.01527	0.06549
Alicyclobacillus fastidiosus	0.8920	0.8668	0.01465	1.720
Alicyclobacillus shizuokensis	0.8635	0.8677	0.01525	0.2754
Alicyclobacillus acidoterrestris	0.8898	0.8669	0.01475	1.553
Alicyclobacillus disulfidooxidans	0.8579	0.8678	0.01517	0.6526
Alicyclobacillus sacchari	0.8907	0.8668	0.01471	1.625
Alicyclobacillus vulcanalis	0.8745	0.8673	0.01522	0.4731
Alicyclobacillus acidocaldarius subsp. acidocaldarius	0.8724	0.8674	0.01525	0.3279
Alicyclobacillus hesperidum	0.8794	0.8672	0.01513	0.8063
Tumebacillus soli	0.8666	0.8676	0.01527	0.06549
Alicyclobacillus macrosporangiidus	0.8667	0.8676	0.01527	0.05894
Tumebacillus flagellatus	0.8605	0.8678	0.01522	0.4796
Alicyclobacillus acidocaldarius subsp. rittmannii	0.8670	0.8676	0.01527	0.03929
Tumebacillus ginsengisoli	0.8662	0.8676	0.01527	0.09168
Effusibacillus lacus	0.8539	0.8680	0.01508	0.9350
Alicyclobacillus contaminans	0.8813	0.8671	0.01507	0.9423
Tumebacillus permanentifrigoris	0.8419	0.8683	0.01458	1.811
Alicyclobacillus tolerans	0.8605	0.8678	0.01522	0.4796
Alicyclobacillus acidiphilus	0.8721	0.8674	0.01525	0.3082
Effusibacillus pohliae	0.8497	0.8681	0.01494	1.232
Kyrpidia tusciae	0.8244	0.8689	0.01323	3.364
Alicyclobacillus cycloheptanicus	0.8764	0.8673	0.01519	0.5991
Alicyclobacillus fodiniaquatilis	0.8739	0.8674	0.01523	0.4268
Tumebacillus lipolyticus	0.8766	0.8673	0.01519	0.6122
Alicyclobacillus aeris	0.8821	0.8671	0.01505	0.9967
Alicyclobacillus pomorum	0.8418	0.8683	0.01458	1.818
