Hydrogenobacter subterraneus	0.8750	0.8426	0.0425	0.7624
Thermocrinis albus	0.8715	0.8430	0.04278	0.6662
Hydrogenivirga caldilitoris	0.8419	0.8463	0.0437	0.1007
Aquifex pyrophilus	0.8413	0.8463	0.04369	0.1144
Hydrogenobacter thermophilus	0.8852	0.8415	0.04147	1.054
Thermocrinis minervae	0.8759	0.8425	0.04242	0.7874
Hydrogenivirga okinawensis	0.8171	0.8490	0.04254	0.7499
Hydrogenobacter hydrogenophilus	0.8611	0.8441	0.04339	0.3918
Thermocrinis jamiesonii	0.8535	0.8450	0.04364	0.1948
Hydrogenobaculum acidophilum	0.7359	0.8581	0.02047	5.970
