Aureimonas ureilytica	0.9244	0.9206	0.01097	0.3464
Aureimonas rubiginis	0.9121	0.9212	0.01083	0.8403
Aurantimonas coralicida	0.9272	0.9205	0.01090	0.6147
Martelella endophytica	0.9153	0.9211	0.01093	0.5306
Aureimonas phyllosphaerae	0.9244	0.9206	0.01097	0.3464
Aureimonas galii	0.9280	0.9205	0.01088	0.6893
Jiella aquimaris	0.9274	0.9205	0.01090	0.6330
Fulvimarina pelagi	0.8992	0.9218	0.009884	2.287
Martelella mangrovi	0.9188	0.9209	0.01099	0.1911
Aureimonas pseudogalii	0.9260	0.9205	0.01094	0.5027
Martelella radicis	0.9163	0.9210	0.01095	0.4292
Martelella mediterranea	0.9091	0.9214	0.01068	1.152
Aureimonas glaciistagni	0.9282	0.9204	0.01087	0.7176
Aureimonas altamirensis	0.9312	0.9203	0.01075	1.014
Fulvimarina manganoxydans	0.9128	0.9212	0.01085	0.7742
Martelella limonii	0.9075	0.9214	0.01059	1.313
Aurantimonas manganoxydans	0.9332	0.9202	0.01064	1.222
Aureimonas frigidaquae	0.9270	0.9205	0.01091	0.5958
Martelella suaedae	0.8966	0.9219	0.009579	2.641
Aureimonas glaciei	0.9344	0.9201	0.01057	1.353
Aurantimonas endophytica	0.9366	0.9200	0.01042	1.593
Aureimonas jatrophae	0.9218	0.9207	0.01100	0.1
