Acetomicrobium flavidum	0.6594	0.8147	0.0716	2.169
Bacteroides cellulosolvens	0.6592	0.8147	0.07159	2.172
Bacteroides reticulotermitis	0.8425	0.8112	0.07464	0.4193
Bacteroides luti	0.8316	0.8114	0.07472	0.2703
Bacteroides dorei	0.8390	0.8112	0.07467	0.3723
Acetomicrobium thermoterrenum	0.6508	0.8149	0.07122	2.304
Bacteroides eggerthii	0.8561	0.8109	0.07451	0.6066
Bacteroides rodentium	0.8636	0.8107	0.07441	0.7109
Bacteroides propionicifaciens	0.8166	0.8117	0.07477	0.06553
Bacteroides fragilis	0.8488	0.8110	0.07459	0.5068
Bacteroides coprophilus	0.8329	0.8113	0.07471	0.2891
Bacteroides caecigallinarum	0.8432	0.8111	0.07464	0.4301
Bacteroides finegoldii	0.8573	0.8109	0.07449	0.6229
Bacteroides gallinarum	0.8482	0.8110	0.07459	0.4987
Bacteroides galacturonicus	0.6656	0.8146	0.07186	2.073
Acetomicrobium mobile	0.6468	0.8150	0.07104	2.368
Bacteroides thetaiotaomicron	0.8645	0.8107	0.0744	0.7231
Bacteroides caecimuris	0.8704	0.8106	0.07431	0.8047
Bacteroides pyogenes	0.8318	0.8114	0.07472	0.2730
Bacteroides zoogleoformans	0.8300	0.8114	0.07473	0.2489
Bacteroides paurosaccharolyticus	0.8416	0.8112	0.07465	0.4072
Bacteroides intestinalis	0.8670	0.8107	0.07436	0.7571
Bacteroides plebeius	0.8366	0.8113	0.07469	0.3387
Bacteroides salyersiae	0.8598	0.8108	0.07446	0.6581
Bacteroides faecis	0.8623	0.8108	0.07443	0.6919
Bacteroides caccae	0.8570	0.8109	0.0745	0.6188
Bacteroides cellulosilyticus	0.8447	0.8111	0.07462	0.4503
Bacteroides coagulans	0.6603	0.8147	0.07164	2.155
Bacteroides pectinophilus	0.6720	0.8145	0.07211	1.976
Bacteroides clarus	0.8629	0.8108	0.07442	0.7001
Bacteroides vulgatus	0.8518	0.8110	0.07456	0.5472
Bacteroides graminisolvens	0.8540	0.8109	0.07453	0.5783
Bacteroides faecichinchillae	0.8666	0.8107	0.07437	0.7516
Bacteroides xylanisolvens	0.8603	0.8108	0.07445	0.6649
Bacteroides nordii	0.8510	0.8110	0.07456	0.5365
Bacteroides massiliensis	0.8401	0.8112	0.07466	0.3871
Bacteroides ovatus	0.8393	0.8112	0.07467	0.3763
Bacteroides caecicola	0.8009	0.8120	0.07475	0.1485
Bacteroides heparinolyticus	0.8304	0.8114	0.07472	0.2543
Bacteroides coprocola	0.8356	0.8113	0.07469	0.3253
Bacteroides sartorii	0.8300	0.8114	0.07473	0.2489
Bacteroides helcogenes	0.8296	0.8114	0.07473	0.2435
Bacteroides oleiciplenus	0.8377	0.8112	0.07468	0.3548
Bacteroides fluxus	0.8213	0.8116	0.07476	0.1297
Bacteroides barnesiae	0.8023	0.8119	0.07476	0.1284
Acetomicrobium hydrogeniformans	0.6378	0.8152	0.07061	2.512
Bacteroides coprosuis	0.8106	0.8118	0.07477	0.01605
Bacteroides uniformis	0.8510	0.8110	0.07456	0.5365
Bacteroides salanitronis	0.7723	0.8125	0.07456	0.5392
Anaerorhabdus furcosa	0.6619	0.8147	0.0717	2.131
Bacteroides acidifaciens	0.8992	0.8100	0.07374	1.210
Bacteroides stercoris	0.9052	0.8099	0.07359	1.295
