Bifidobacterium indicum	0.9131	0.9017	0.01695	0.6726
Bifidobacterium saeculare	0.9178	0.9016	0.01690	0.9586
Bifidobacterium magnum	0.8914	0.9020	0.01696	0.625
Alloscardovia omnicolens	0.8741	0.9023	0.01667	1.692
Bifidobacterium saguini	0.9025	0.9018	0.01701	0.04115
Gardnerella vaginalis	0.8758	0.9022	0.01671	1.580
Bifidobacterium mongoliense	0.8994	0.9019	0.01701	0.1470
Bifidobacterium bohemicum	0.8988	0.9019	0.01701	0.1822
Alloscardovia criceti	0.8678	0.9024	0.01649	2.098
Bifidobacterium angulatum	0.9163	0.9016	0.01692	0.8688
Bifidobacterium tsurumiense	0.9047	0.9018	0.01701	0.1705
Bifidobacterium crudilactis	0.8895	0.9020	0.01694	0.7379
Bifidobacterium catenulatum	0.9165	0.9016	0.01692	0.8806
Pseudoscardovia suis	0.8858	0.9021	0.01690	0.9645
Bifidobacterium moukalabense	0.9102	0.9017	0.01698	0.5006
Bifidobacterium aerophilum	0.9039	0.9018	0.01701	0.1235
Bifidobacterium breve	0.9219	0.9016	0.01683	1.206
Bifidobacterium longum subsp. longum	0.9035	0.9018	0.01701	0.09994
Bombiscardovia coagulans	0.8741	0.9023	0.01667	1.692
Bifidobacterium boum	0.9144	0.9017	0.01694	0.7497
Bifidobacterium aquikefiri	0.8825	0.9021	0.01685	1.163
Bifidobacterium pullorum	0.9181	0.9016	0.01689	0.9769
Bifidobacterium myosotis	0.8874	0.9021	0.01692	0.8688
Bifidobacterium adolescentis	0.9141	0.9017	0.01694	0.7320
Bifidobacterium pseudocatenulatum	0.9185	0.9016	0.01689	1.001
Bifidobacterium psychraerophilum	0.8830	0.9021	0.01685	1.134
Bifidobacterium reuteri	0.9040	0.9018	0.01701	0.1293
Bifidobacterium minimum	0.8948	0.9020	0.01699	0.4238
Scardovia wiggsiae	0.8593	0.9025	0.01620	2.667
Alloscardovia macacae	0.8543	0.9025	0.01599	3.014
Bifidobacterium animalis subsp. lactis	0.9108	0.9017	0.01697	0.5362
Bifidobacterium animalis subsp. animalis	0.9063	0.9018	0.01700	0.2647
Bifidobacterium ramosum	0.9086	0.9018	0.01699	0.4002
Bifidobacterium kashiwanohense	0.9257	0.9015	0.01676	1.444
Bifidobacterium asteroides	0.9125	0.9017	0.01696	0.6368
Bifidobacterium biavatii	0.8976	0.9019	0.01700	0.2529
Bifidobacterium choerinum	0.9112	0.9017	0.01697	0.5598
Bifidobacterium gallinarum	0.9171	0.9016	0.01691	0.9166
Bifidobacterium pseudolongum subsp. pseudolongum	0.9140	0.9017	0.01695	0.7257
Bifidobacterium ruminantium	0.8992	0.9019	0.01701	0.1587
Bifidobacterium aesculapii	0.8967	0.9019	0.01700	0.3059
Parascardovia denticolens	0.8855	0.9021	0.01689	0.9828
Bifidobacterium tissierii	0.9111	0.9017	0.01697	0.5539
Bifidobacterium scardovii	0.9081	0.9018	0.01699	0.3708
Bifidobacterium longum subsp. infantis	0.9203	0.9016	0.01686	1.109
Bifidobacterium callitrichos	0.9116	0.9017	0.01697	0.5834
Neoscardovia arbecensis	0.8884	0.9020	0.01693	0.8033
Pseudoscardovia radai	0.8824	0.9021	0.01684	1.170
Aeriscardovia aeriphila	0.8599	0.9025	0.01622	2.626
Bifidobacterium stellenboschense	0.9038	0.9018	0.01701	0.1176
Bifidobacterium longum subsp. suis	0.9032	0.9018	0.01701	0.08230
Bifidobacterium gallicum	0.9147	0.9017	0.01694	0.7674
Scardovia inopinata	0.8707	0.9023	0.01658	1.906
Bifidobacterium subtile	0.9111	0.9017	0.01697	0.5539
Bifidobacterium thermophilum	0.9276	0.9015	0.01672	1.561
Bifidobacterium bifidum	0.9186	0.9016	0.01689	1.007
Bifidobacterium thermacidophilum subsp. thermacidophilum	0.9085	0.9018	0.01699	0.3943
Bifidobacterium faecale	0.9178	0.9016	0.01690	0.9586
Bifidobacterium pseudolongum subsp. globosum	0.9175	0.9016	0.01690	0.9408
Bifidobacterium merycicum	0.9041	0.9018	0.01701	0.1352
Bifidobacterium hapali	0.9030	0.9018	0.01701	0.07055
Bifidobacterium lemurum	0.9246	0.9015	0.01678	1.377
Bifidobacterium dentium	0.9179	0.9016	0.01690	0.9645
Bifidobacterium eulemuris	0.9126	0.9017	0.01696	0.6427
Bifidobacterium longum subsp. suillum	0.9044	0.9018	0.01701	0.1529
Bifidobacterium bombi	0.8915	0.9020	0.01696	0.6191
Bifidobacterium thermacidophilum subsp. porcinum	0.9186	0.9016	0.01689	1.007
Bifidobacterium coryneforme	0.8957	0.9019	0.01699	0.3649
Bifidobacterium actinocoloniiforme	0.8972	0.9019	0.01700	0.2765
