Bradyrhizobium icense	0.9498	0.9365	0.03044	0.4369
Nitrobacter winogradskyi	0.9471	0.9366	0.03045	0.3448
Bradyrhizobium embrapense	0.9492	0.9365	0.03044	0.4172
Afipia clevelandensis	0.9338	0.9368	0.03048	0.09843
Rhodopseudomonas harwoodiae	0.9462	0.9366	0.03046	0.3152
Rhodopseudomonas julia	0.8470	0.9381	0.02834	3.215
Bosea vestrisii	0.8963	0.9374	0.03006	1.367
Bosea massiliensis	0.8908	0.9374	0.02993	1.557
Bradyrhizobium stylosanthis	0.9581	0.9364	0.03036	0.7148
Bradyrhizobium yuanmingense	0.9537	0.9365	0.03041	0.5656
Bosea minatitlanensis	0.8902	0.9375	0.02992	1.581
Bradyrhizobium ottawaense	0.9573	0.9364	0.03037	0.6882
Bradyrhizobium guangdongense	0.9588	0.9364	0.03036	0.7378
Salinarimonas rosea	0.8597	0.9379	0.02892	2.704
Nitrobacter alkalicus	0.9459	0.9366	0.03046	0.3053
Bradyrhizobium lupini	0.9592	0.9364	0.03035	0.7512
Bradyrhizobium paxllaeri	0.9539	0.9365	0.03040	0.5724
Bradyrhizobium canariense	0.9573	0.9364	0.03037	0.6882
Nitrobacter hamburgensis	0.9442	0.9366	0.03047	0.2494
Bradyrhizobium pachyrhizi	0.9526	0.9365	0.03042	0.5293
Rhodopseudomonas rhenobacensis	0.9464	0.9366	0.03046	0.3217
Afipia broomeae	0.9417	0.9367	0.03047	0.1641
Bradyrhizobium ferriligni	0.9200	0.9370	0.03041	0.5590
Salinarimonas ramus	0.8575	0.9380	0.02883	2.792
Bradyrhizobium liaoningense	0.9620	0.9363	0.03032	0.8476
Bradyrhizobium tropiciagri	0.9427	0.9366	0.03047	0.2002
Afipia felis	0.9304	0.9368	0.03047	0.2100
Bradyrhizobium denitrificans	0.9518	0.9365	0.03042	0.5030
Bosea eneae	0.8934	0.9374	0.03000	1.467
Rhodopseudomonas parapalustris	0.9420	0.9367	0.03047	0.1739
Bradyrhizobium jicamae	0.9526	0.9365	0.03042	0.5293
Rhodopseudomonas palustris	0.9537	0.9365	0.03041	0.5656
Bradyrhizobium retamae	0.9504	0.9365	0.03043	0.4568
Bradyrhizobium subterraneum	0.9596	0.9364	0.03035	0.7644
Bradyrhizobium huanghuaihaiense	0.9572	0.9364	0.03037	0.6849
Rhodopseudomonas thermotolerans	0.9428	0.9366	0.03047	0.2035
Bradyrhizobium guangxiense	0.9613	0.9364	0.03033	0.8210
Bradyrhizobium lablabi	0.9481	0.9366	0.03045	0.3777
Bradyrhizobium manausense	0.9487	0.9366	0.03044	0.3975
Nitrobacter vulgaris	0.9486	0.9366	0.03044	0.3942
Bradyrhizobium betae	0.9524	0.9365	0.03042	0.5227
Bosea lupini	0.8981	0.9373	0.03010	1.302
Bradyrhizobium japonicum	0.9590	0.9364	0.03035	0.7446
Afipia massiliensis	0.9404	0.9367	0.03048	0.1214
Bradyrhizobium daqingense	0.9520	0.9365	0.03042	0.5095
Bradyrhizobium arachidis	0.9483	0.9366	0.03045	0.3842
Tardiphaga robiniae	0.9332	0.9368	0.03048	0.1181
Bradyrhizobium vignae	0.9401	0.9367	0.03048	0.1115
Bradyrhizobium viridifuturi	0.9490	0.9365	0.03044	0.4106
Pararhizobium capsulatum	0.8268	0.9384	0.02721	4.101
Bradyrhizobium elkanii	0.9482	0.9366	0.03045	0.3810
Bradyrhizobium iriomotense	0.9515	0.9365	0.03042	0.4931
Rhodopseudomonas pseudopalustris	0.9411	0.9367	0.03048	0.1444
Bradyrhizobium kavangense	0.9459	0.9366	0.03046	0.3053
Rhodopseudomonas faecalis	0.9415	0.9367	0.03047	0.1575
Bradyrhizobium erythrophlei	0.9484	0.9366	0.03045	0.3875
Bradyrhizobium neotropicale	0.9406	0.9367	0.03048	0.1280
Bosea robiniae	0.9073	0.9372	0.03026	0.9881
Afipia birgiae	0.9419	0.9367	0.03047	0.1707
Bosea lathyri	0.8933	0.9374	0.02999	1.470
Bosea thiooxidans	0.8864	0.9375	0.02982	1.714
Bradyrhizobium ingae	0.9672	0.9363	0.03024	1.022
Bradyrhizobium ganzhouense	0.9678	0.9363	0.03023	1.042
Bradyrhizobium mercantei	0.9591	0.9364	0.03035	0.7479
Bradyrhizobium oligotrophicum	0.9603	0.9364	0.03034	0.7877
Oligotropha carboxidovorans	0.9629	0.9363	0.03030	0.8779
