Brevibacterium ammoniilyticum	0.9204	0.9136	0.03485	0.1951
Brevibacterium paucivorans	0.9072	0.9140	0.03485	0.1951
Brevibacterium antiquum	0.9211	0.9136	0.03485	0.2152
Spelaeicoccus albus	0.8908	0.9145	0.03462	0.6846
Brevibacterium daeguense	0.9185	0.9136	0.03486	0.1406
Brevibacterium marinum	0.9246	0.9134	0.03481	0.3217
Brevibacterium linens	0.9233	0.9135	0.03483	0.2814
Brevibacterium album	0.9181	0.9136	0.03486	0.1291
Brevibacterium ravenspurgense	0.9114	0.9139	0.03487	0.07169
Brevibacterium aurantiacum	0.9191	0.9136	0.03486	0.1578
Brevibacterium permense	0.9234	0.9135	0.03483	0.2842
Brevibacterium senegalense	0.9162	0.9137	0.03487	0.07169
Brevibacterium iodinum	0.9227	0.9135	0.03483	0.2641
Brevibacterium oceani	0.9241	0.9135	0.03482	0.3044
Brevibacterium frigoritolerans	0.7395	0.9194	0.01430	12.58
Brevibacterium salitolerans	0.9110	0.9139	0.03487	0.08317
Brevibacterium sanguinis	0.9334	0.9132	0.03469	0.5823
Brevibacterium sediminis	0.9318	0.9132	0.03472	0.5357
Brevibacterium pityocampae	0.9113	0.9139	0.03487	0.07456
Sediminivirga luteola	0.8875	0.9146	0.03454	0.7846
Brevibacterium avium	0.9313	0.9132	0.03472	0.5213
Brevibacterium luteolum	0.9192	0.9136	0.03486	0.1606
Brevibacterium sandarakinum	0.9006	0.9142	0.03479	0.3909
Brevibacterium jeotgali	0.9115	0.9139	0.03487	0.06883
Brevibacterium siliguriense	0.9192	0.9136	0.03486	0.1606
Brevibacterium samyangense	0.9204	0.9136	0.03485	0.1951
Brevibacterium mcbrellneri	0.9131	0.9138	0.03487	0.02007
Brevibacterium yomogidense	0.9105	0.9139	0.03487	0.09751
Brevibacterium otitidis	0.9099	0.9139	0.03486	0.1147
Brevibacterium casei	0.9514	0.9126	0.03419	1.135
Brevibacterium picturae	0.9419	0.9129	0.03449	0.8408
Brevibacterium celere	0.9568	0.9124	0.03398	1.307
