Arcobacter skirrowii	0.8359	0.8503	0.01743	0.8262
Campylobacter ureolyticus	0.8431	0.8502	0.01750	0.4057
Campylobacter coli	0.8692	0.8498	0.01736	1.118
Arcobacter molluscorum	0.8399	0.8502	0.01747	0.5896
Campylobacter jejuni subsp. doylei	0.8713	0.8497	0.01732	1.247
Campylobacter gracilis	0.8463	0.8501	0.01751	0.2170
Arcobacter thereius	0.8410	0.8502	0.01748	0.5263
Campylobacter corcagiensis	0.8361	0.8503	0.01743	0.8147
Campylobacter upsaliensis	0.8504	0.8500	0.01752	0.02283
Sulfurospirillum barnesii	0.8276	0.8504	0.01729	1.319
Arcobacter venerupis	0.8508	0.8500	0.01752	0.04566
Arcobacter anaerophilus	0.8422	0.8502	0.01749	0.4574
Arcobacter butzleri	0.8373	0.8503	0.01745	0.7450
Arcobacter halophilus	0.8385	0.8502	0.01746	0.6701
Campylobacter insulaenigrae	0.8750	0.8497	0.01724	1.468
Campylobacter sputorum subsp. bubulus	0.7868	0.8510	0.01563	4.107
Arcobacter cryaerophilus	0.8461	0.8501	0.01751	0.2284
Campylobacter lari subsp. concheus	0.8770	0.8496	0.01719	1.594
Sulfurospirillum arsenophilum	0.8460	0.8501	0.01751	0.2342
Campylobacter ornithocola	0.8761	0.8497	0.01721	1.534
Campylobacter volucris	0.8702	0.8497	0.01734	1.182
Sulfurospirillum halorespirans	0.8378	0.8502	0.01745	0.7106
Campylobacter helveticus	0.8566	0.8500	0.01750	0.3771
Campylobacter curvus	0.8112	0.8507	0.01683	2.347
Campylobacter rectus	0.8609	0.8499	0.01747	0.6297
Arcobacter aquimarinus	0.8560	0.8500	0.01750	0.3429
Campylobacter sputorum subsp. sputorum	0.8247	0.8504	0.01723	1.492
Arcobacter marinus	0.8459	0.8501	0.01751	0.2399
Campylobacter iguaniorum	0.8742	0.8497	0.01726	1.419
Sulfurospirillum deleyianum	0.8411	0.8502	0.01748	0.5206
Arcobacter mytili	0.8508	0.8500	0.01752	0.04566
Arcobacter suis	0.8555	0.8500	0.01751	0.3141
Campylobacter subantarcticus	0.8764	0.8496	0.01721	1.557
Campylobacter canadensis	0.8364	0.8503	0.01744	0.7970
Campylobacter concisus	0.8721	0.8497	0.01730	1.295
Campylobacter peloridis	0.8682	0.8498	0.01737	1.059
Campylobacter hyointestinalis subsp. lawsonii	0.8586	0.8499	0.01749	0.4974
Campylobacter showae	0.8541	0.8500	0.01751	0.2342
Arcobacter pacificus	0.8394	0.8502	0.01747	0.6182
Campylobacter pinnipediorum subsp. caledonicus	0.8663	0.8498	0.01740	0.9483
Campylobacter hominis	0.8314	0.8503	0.01736	1.089
Campylobacter fetus subsp. venerealis	0.8641	0.8498	0.01743	0.8204
Arcobacter nitrofigilis	0.8438	0.8502	0.01750	0.3657
Campylobacter hyointestinalis subsp. hyointestinalis	0.8625	0.8499	0.01745	0.7221
Campylobacter fetus subsp. fetus	0.8550	0.8500	0.01751	0.2856
Campylobacter pinnipediorum subsp. pinnipediorum	0.8520	0.8500	0.01752	0.1142
Arcobacter bivalviorum	0.8577	0.8499	0.01749	0.4460
Arcobacter ebronensis	0.8530	0.8500	0.01752	0.1712
Arcobacter defluvii	0.8584	0.8499	0.01749	0.4860
Arcobacter ellisii	0.8516	0.8500	0.01752	0.09132
Campylobacter cuniculorum	0.8534	0.8500	0.01751	0.1942
Campylobacter avium	0.8407	0.8502	0.01748	0.5435
Sulfurospirillum arcachonense	0.8352	0.8503	0.01742	0.8668
Campylobacter hepaticus	0.8616	0.8499	0.01746	0.6701
Sulfurospirillum multivorans	0.8453	0.8501	0.01751	0.2741
Campylobacter fetus subsp. testudinum	0.8589	0.8499	0.01749	0.5146
Sulfurospirillum cavolei	0.8318	0.8503	0.01737	1.065
Arcobacter lekithochrous	0.8396	0.8502	0.01747	0.6068
Sulfurospirillum alkalitolerans	0.8245	0.8504	0.01723	1.503
Campylobacter lari subsp. lari	0.8553	0.8500	0.01751	0.3027
Arcobacter cloacae	0.8622	0.8499	0.01745	0.7049
Arcobacter cibarius	0.8718	0.8497	0.01731	1.277
Campylobacter mucosalis	0.8663	0.8498	0.01740	0.9483
Campylobacter lanienae	0.8464	0.8501	0.01751	0.2113
Arcobacter trophiarum	0.8775	0.8496	0.01718	1.624
Arcobacter lanthieri	0.8106	0.8507	0.01681	2.385
