Cellulomonas marina	0.9318	0.9307	0.01476	0.07453
Sediminihabitans luteus	0.9418	0.9304	0.01464	0.7787
Cellulomonas humilata	0.9379	0.9305	0.01471	0.5031
Oerskovia paurometabola	0.9402	0.9305	0.01468	0.6608
Cellulomonas denverensis	0.9434	0.9304	0.01461	0.8898
Oerskovia enterophila	0.9374	0.9306	0.01472	0.4620
Cellulomonas flavigena	0.9370	0.9306	0.01473	0.4345
Cellulomonas oligotrophica	0.9429	0.9304	0.01462	0.8550
Cellulomonas biazotea	0.9382	0.9305	0.01471	0.5235
Cellulomonas terrae	0.9425	0.9304	0.01463	0.8271
Cellulomonas cellasea	0.9384	0.9305	0.01471	0.5370
Cellulomonas hominis	0.9386	0.9305	0.01470	0.5510
Cellulomonas carbonis	0.9305	0.9308	0.01477	0.02031
Actinotalea fermentans	0.9269	0.9309	0.01475	0.2712
Cellulomonas xylanilytica	0.9326	0.9307	0.01476	0.1287
Oerskovia jenensis	0.9322	0.9307	0.01476	0.1016
Cellulomonas persica	0.9228	0.9310	0.01470	0.5578
Cellulomonas fimi	0.9329	0.9307	0.01476	0.1491
Cellulomonas chitinilytica	0.9393	0.9305	0.01469	0.5990
Tropheryma whipplei	0.8626	0.9327	0.009029	7.764
Tropicihabitans flavus	0.9325	0.9307	0.01476	0.1220
Pseudactinotalea terrae	0.9180	0.9311	0.01460	0.8973
Actinotalea caeni	0.9176	0.9311	0.01459	0.9253
Paraoerskovia sediminicola	0.9248	0.9309	0.01473	0.4141
Cellulomonas uda	0.9329	0.9307	0.01476	0.1491
Cellulomonas iranensis	0.9346	0.9306	0.01475	0.2712
Cellulomonas gelida	0.9400	0.9305	0.01468	0.6471
Cellulomonas composti	0.9385	0.9305	0.01471	0.5438
Cellulomonas pakistanensis	0.9415	0.9304	0.01465	0.7577
Cellulomonas aerilata	0.9375	0.9306	0.01472	0.4688
Oerskovia turbata	0.9349	0.9306	0.01475	0.2915
Cellulomonas massiliensis	0.9312	0.9307	0.01477	0.03385
Cellulomonas soli	0.9250	0.9309	0.01473	0.4005
Pseudactinotalea suaedae	0.9118	0.9313	0.01440	1.354
Actinotalea ferrariae	0.9328	0.9307	0.01476	0.1423
Paraoerskovia marina	0.9035	0.9315	0.01401	1.999
