Pseudomaricurvus alcaniphilus	0.8805	0.8859	0.01196	0.4515
Simiduia areninigrae	0.8913	0.8855	0.01196	0.4849
Marinimicrobium locisalis	0.8781	0.8860	0.01192	0.6628
Eionea flava	0.8876	0.8856	0.01200	0.1667
Saccharophagus degradans	0.8741	0.8861	0.01180	1.017
Pseudomaricurvus alkylphenolicus	0.8866	0.8857	0.01200	0.075
Cellvibrio mixtus subsp. mixtus	0.8930	0.8855	0.01192	0.6292
Cellvibrio gandavensis	0.8945	0.8854	0.01189	0.7653
Marinimicrobium agarilyticum	0.8786	0.8859	0.01193	0.6119
Cellvibrio diazotrophicus	0.8963	0.8853	0.01184	0.9291
Cellvibrio japonicus	0.8900	0.8856	0.01198	0.3673
Gilvimarinus polysaccharolyticus	0.9007	0.8852	0.01167	1.328
Umboniibacter roseus	0.8713	0.8862	0.01169	1.275
Simiduia curdlanivorans	0.8955	0.8854	0.01186	0.8516
Simiduia agarivorans	0.8887	0.8856	0.01199	0.2585
Maricurvus nonylphenolicus	0.8786	0.8859	0.01193	0.6119
Eionea nigra	0.8761	0.8860	0.01187	0.8340
Gilvimarinus japonicus	0.8832	0.8858	0.01199	0.2168
Umboniibacter marinipuniceus	0.8681	0.8863	0.01153	1.578
Teredinibacter turnerae	0.8830	0.8858	0.01199	0.2335
Simiduia litorea	0.8920	0.8855	0.01194	0.5444
Cellvibrio fibrivorans	0.8977	0.8853	0.01179	1.052
Marinimicrobium koreense	0.8801	0.8859	0.01196	0.4849
Cellvibrio ostraviensis	0.8924	0.8855	0.01194	0.5779
Simiduia aestuariiviva	0.8872	0.8857	0.01200	0.125
Cellvibrio fulvus	0.8814	0.8859	0.01198	0.3756
Cellvibrio vulgaris	0.8549	0.8868	0.01050	3.038
Marinagarivorans algicola	0.8775	0.8860	0.01190	0.7143
Gilvimarinus chinensis	0.8905	0.8855	0.01197	0.4177
Marinibactrum halimedae	0.9216	0.8845	0.009906	3.745
