Chitinophaga longshanensis	0.8671	0.8582	0.01611	0.5525
Filimonas lacunae	0.8643	0.8582	0.01612	0.3784
Filimonas aurantiibacter	0.8622	0.8583	0.01612	0.2419
Niabella aquatica	0.8573	0.8583	0.01613	0.06200
Ferruginibacter yonginensis	0.8550	0.8583	0.01613	0.2046
Sediminibacterium goheungense	0.8666	0.8582	0.01611	0.5214
Arachidicoccus rhizosphaerae	0.8413	0.8585	0.01604	1.072
Filimonas zeae	0.8648	0.8582	0.01612	0.4094
Niabella yanshanensis	0.8616	0.8583	0.01613	0.2046
Niastella yeongjuensis	0.8759	0.8581	0.01604	1.110
Panacibacter ginsenosidivorans	0.8698	0.8582	0.01609	0.7209
Chitinophaga eiseniae	0.8695	0.8582	0.01609	0.7023
Chitinophaga terrae	0.8691	0.8582	0.01609	0.6774
Niabella hirudinis	0.8582	0.8583	0.01613	0.006200
Segetibacter koreensis	0.8528	0.8583	0.01612	0.3412
Parasegetibacter luojiensis	0.8601	0.8583	0.01613	0.1116
Niabella soli	0.8556	0.8583	0.01613	0.1674
Niveitalea solisilvae	0.8742	0.8581	0.01605	1.003
Pseudobacter ginsenosidimutans	0.8701	0.8582	0.01609	0.7396
Chitinophaga jiangningensis	0.8770	0.8581	0.01603	1.179
Chitinophaga qingshengii	0.8646	0.8582	0.01612	0.3970
Taibaiella soli	0.8163	0.8587	0.01560	2.718
Flavihumibacter stibioxidans	0.8745	0.8581	0.01605	1.022
Sediminibacterium ginsengisoli	0.8681	0.8582	0.01610	0.6149
Chitinophaga dinghuensis	0.8683	0.8582	0.01610	0.6273
Terrimonas lutea	0.8544	0.8583	0.01612	0.2419
Chitinophaga cymbidii	0.8615	0.8583	0.01613	0.1984
Flavihumibacter petaseus	0.8730	0.8582	0.01606	0.9215
Flaviaesturariibacter luteus	0.8645	0.8582	0.01612	0.3908
Parasediminibacterium paludis	0.8603	0.8583	0.01613	0.1240
Chitinophaga oryziterrae	0.8588	0.8583	0.01613	0.03100
Terrimonas aquatica	0.8647	0.8582	0.01612	0.4032
Flavisolibacter rigui	0.8656	0.8582	0.01611	0.4593
Niabella tibetensis	0.8468	0.8584	0.01609	0.7209
Hydrobacter penzbergensis	0.8412	0.8585	0.01604	1.079
Pseudoflavitalea soli	0.8703	0.8582	0.01609	0.7520
Chitinophaga taiwanensis	0.8613	0.8583	0.01613	0.1860
Chitinophaga ginsengihumi	0.8596	0.8583	0.01613	0.08060
Chitinophaga costaii	0.8641	0.8582	0.01612	0.3660
Niabella drilacis	0.8566	0.8583	0.01613	0.1054
Dinghuibacter silviterrae	0.8494	0.8584	0.01611	0.5587
Ferruginibacter paludis	0.8609	0.8583	0.01613	0.1612
Terrimonas arctica	0.8692	0.8582	0.01609	0.6837
Taibaiella chishuiensis	0.8174	0.8587	0.01563	2.642
Niastella populi	0.8717	0.8582	0.01608	0.8396
Flavitalea gansuensis	0.8681	0.8582	0.01610	0.6149
Ferruginibacter alkalilentus	0.8564	0.8583	0.01613	0.1178
Terrimonas pekingensis	0.8697	0.8582	0.01609	0.7147
Chitinophaga rupis	0.8661	0.8582	0.01611	0.4904
Chitinophaga filiformis	0.8665	0.8582	0.01611	0.5152
Chitinophaga barathri	0.8585	0.8583	0.01613	0.01240
Hydrotalea flava	0.8547	0.8583	0.01613	0.2232
Lacibacter cauensis	0.8602	0.8583	0.01613	0.1178
Chitinophaga ginsengisegetis	0.8697	0.8582	0.01609	0.7147
Taibaiella smilacinae	0.8125	0.8587	0.01550	2.981
Terrimonas rhizosphaerae	0.8665	0.8582	0.01611	0.5152
Niastella gongjuensis	0.8705	0.8582	0.01608	0.7649
Vibrionimonas magnilacihabitans	0.8602	0.8583	0.01613	0.1178
Taibaiella coffeisoli	0.8123	0.8587	0.01549	2.995
Parasegetibacter terrae	0.8768	0.8581	0.01603	1.167
Flavisolibacter ginsengiterrae	0.8747	0.8581	0.01605	1.034
Arachidicoccus ginsenosidivorans	0.8434	0.8584	0.01606	0.9340
Niastella hibisci	0.8752	0.8581	0.01604	1.066
Filimonas endophytica	0.8623	0.8583	0.01612	0.2481
Chitinophaga ginsengisoli	0.8668	0.8582	0.01611	0.5338
Chitinophaga sancti	0.8616	0.8583	0.01613	0.2046
Chitinophaga skermanii	0.8592	0.8583	0.01613	0.05580
Flavihumibacter cheonanensis	0.8726	0.8582	0.01607	0.8961
Niastella vici	0.8696	0.8582	0.01609	0.7085
Flavihumibacter sediminis	0.8641	0.8582	0.01612	0.3660
Taibaiella yonginensis	0.8005	0.8588	0.01511	3.858
Sediminibacterium salmoneum	0.8542	0.8583	0.01612	0.2543
Asinibacterium lactis	0.8563	0.8583	0.01613	0.1240
Niabella hibiscisoli	0.8628	0.8582	0.01612	0.2854
