Prosthecochloris aestuarii	0.9009	0.9021	0.03186	0.03766
Chloroherpeton thalassium	0.8210	0.9110	0.01434	6.276
Chlorobaculum tepidum	0.8979	0.9024	0.03183	0.1414
Chlorobium limicola	0.9333	0.8985	0.02990	1.164
Prosthecochloris vibrioformis	0.8870	0.9036	0.03142	0.5283
Chlorobium luteolum	0.9300	0.8989	0.03030	1.026
Chlorobaculum thiosulfatiphilum	0.9156	0.9005	0.03150	0.4794
Chlorobium clathratiforme	0.9166	0.9003	0.03144	0.5184
Chlorobium phaeovibrioides	0.9150	0.9005	0.03153	0.4599
Chlorobium phaeobacteroides	0.9024	0.9019	0.03186	0.01569
