Chitiniphilus shinanonensis	0.8672	0.8701	0.02321	0.1249
Chromobacterium violaceum	0.8840	0.8698	0.02313	0.6139
Vogesella facilis	0.8743	0.8700	0.02321	0.1853
Formivibrio citricus	0.8648	0.8702	0.02320	0.2328
Iodobacter limnosediminis	0.8619	0.8702	0.02319	0.3579
Vogesella lacus	0.8744	0.8700	0.02321	0.1896
Vogesella indigofera	0.8755	0.8700	0.02320	0.2371
Chromobacterium amazonense	0.8869	0.8697	0.02310	0.7446
Laribacter hongkongensis	0.8722	0.8700	0.02321	0.09479
Silvimonas iriomotensis	0.8632	0.8702	0.02319	0.3019
Chitinibacter fontanus	0.8584	0.8703	0.02316	0.5138
Iodobacter arcticus	0.8653	0.8701	0.02320	0.2069
Aquitalea magnusonii	0.8904	0.8697	0.02304	0.8984
Deefgea rivuli	0.8593	0.8703	0.02317	0.4748
Chitinibacter tainanensis	0.8624	0.8702	0.02319	0.3364
Chromobacterium haemolyticum	0.8832	0.8698	0.02314	0.5791
Chitinibacter alvei	0.8534	0.8704	0.02310	0.7359
Jeongeupia naejangsanensis	0.8515	0.8704	0.02307	0.8192
Microvirgula aerodenitrificans	0.8645	0.8702	0.02320	0.2457
Aquaspirillum serpens	0.8764	0.8699	0.02320	0.2802
Chitinilyticum aquatile	0.8581	0.8703	0.02315	0.5270
Vogesella alkaliphila	0.8838	0.8698	0.02314	0.6050
Microvirgula curvata	0.8536	0.8704	0.02310	0.7273
Chitinilyticum litopenaei	0.8484	0.8705	0.02302	0.9600
Aquaspirillum polymorphum	0.7398	0.8725	0.01459	9.095
Vogesella amnigena	0.8830	0.8698	0.02314	0.5704
Aquaspirillum soli	0.8585	0.8703	0.02316	0.5095
Vogesella fluminis	0.8780	0.8699	0.02319	0.3493
Silvimonas amylolytica	0.8655	0.8701	0.02321	0.1982
Chromobacterium subtsugae	0.8890	0.8697	0.02307	0.8366
Chromobacterium alkanivorans	0.8932	0.8696	0.02299	1.027
Jeongeupia chitinilytica	0.8674	0.8701	0.02321	0.1163
Silvimonas terrae	0.8588	0.8703	0.02316	0.4965
Gulbenkiania mobilis	0.8989	0.8695	0.02287	1.286
Aquitalea denitrificans	0.8997	0.8695	0.02285	1.322
Vogesella perlucida	0.8768	0.8699	0.02320	0.2974
Gulbenkiania indica	0.8804	0.8699	0.02317	0.4532
Pseudogulbenkiania subflava	0.8856	0.8698	0.02311	0.6837
Aquaspirillum putridiconchylium	0.8643	0.8702	0.02320	0.2543
Chromobacterium pseudoviolaceum	0.8957	0.8696	0.02294	1.138
Chromobacterium vaccinii	0.8929	0.8696	0.02300	1.013
Deefgea chitinilytica	0.8511	0.8704	0.02306	0.8369
Vogesella mureinivorans	0.8677	0.8701	0.02321	0.1034
Leeia oryzae	0.8613	0.8702	0.02318	0.3840
Pseudogulbenkiania gefcensis	0.8899	0.8697	0.02305	0.8764
Paludibacterium yongneupense	0.8845	0.8698	0.02313	0.6355
Chromobacterium aquaticum	0.8818	0.8698	0.02316	0.5181
Paludibacterium paludis	0.8671	0.8701	0.02321	0.1293
Aquaspirillum arcticum	0.8364	0.8707	0.02274	1.508
Andreprevotia lacus	0.8795	0.8699	0.02318	0.4142
Aquitalea pelogenes	0.8993	0.8695	0.02286	1.304
Paludibacterium purpuratum	0.8756	0.8700	0.02320	0.2414
Andreprevotia chitinilytica	0.8716	0.8700	0.02321	0.06894
Chromobacterium rhizoryzae	0.8566	0.8703	0.02314	0.5920
