Alkaliphilus crotonatoxidans	0.7793	0.7999	0.02402	0.8576
Sporosalibacterium tautonense	0.8010	0.7998	0.02406	0.04988
Clostridium scindens	0.7787	0.7999	0.02402	0.8826
Clostridium aciditolerans	0.8258	0.7997	0.02400	1.088
Clostridioides difficile	0.7889	0.7999	0.02405	0.4574
Tindallia magadiensis	0.7824	0.7999	0.02403	0.7283
Natronincola ferrireducens	0.7832	0.7999	0.02404	0.6947
Salimesophilobacter vulgaris	0.7857	0.7999	0.02404	0.5907
Clostridium novyi	0.8205	0.7998	0.02402	0.8618
Clostridium schirmacherense	0.8287	0.7997	0.02399	1.209
Romboutsia lituseburensis	0.7801	0.7999	0.02403	0.8240
Caloramator mitchellensis	0.7928	0.7999	0.02406	0.2951
Clostridium straminisolvens	0.7893	0.7999	0.02405	0.4407
Caloramator viterbiensis	0.7948	0.7999	0.02406	0.2120
Clostridium haemolyticum	0.8214	0.7998	0.02402	0.8993
Tindallia californiensis	0.7797	0.7999	0.02403	0.8406
Clostridium sulfidigenes	0.8282	0.7997	0.02399	1.188
Clostridium beijerinckii	0.8342	0.7997	0.02396	1.440
Lutispora thermophila	0.7977	0.7998	0.02406	0.08728
Clostridium isatidis	0.8379	0.7997	0.02394	1.596
Clostridium hydrogeniformans	0.8179	0.7998	0.02403	0.7532
Clostridium xylanolyticum	0.7907	0.7999	0.02405	0.3825
Alkaliphilus oremlandii	0.7971	0.7998	0.02406	0.1122
Clostridium peptidivorans	0.8185	0.7998	0.02403	0.7782
Clostridium acetobutylicum	0.8162	0.7998	0.02404	0.6822
Clostridium acetireducens	0.8133	0.7998	0.02404	0.5616
Clostridium chromiireducens	0.8319	0.7997	0.02397	1.343
Anaerosporobacter mobilis	0.7870	0.7999	0.02405	0.5364
Clostridium butyricum	0.8308	0.7997	0.02398	1.297
Youngiibacter fragilis	0.8166	0.7998	0.02404	0.6988
Clostridium luticellarii	0.8075	0.7998	0.02405	0.3202
Terrisporobacter petrolearius	0.7896	0.7999	0.02405	0.4283
Clostridium akagii	0.8206	0.7998	0.02402	0.8659
