Ramlibacter ginsenosidimutans	0.9104	0.9159	0.01213	0.4534
Comamonas denitrificans	0.9042	0.9160	0.01210	0.9752
Acidovorax citrulli	0.9266	0.9158	0.01211	0.8918
Acidovorax soli	0.9250	0.9158	0.01212	0.7591
Verminephrobacter aporrectodeae	0.9098	0.9159	0.01213	0.5029
Delftia litopenaei	0.9191	0.9158	0.01214	0.2718
Polaromonas hydrogenivorans	0.8939	0.9160	0.01199	1.843
Acidovorax valerianellae	0.9195	0.9158	0.01214	0.3048
Simplicispira limi	0.9187	0.9159	0.01214	0.2306
Limnohabitans parvus	0.9069	0.9159	0.01212	0.7426
Limnohabitans australis	0.9111	0.9159	0.01213	0.3957
Variovorax boronicumulans	0.9210	0.9158	0.01213	0.4287
Roseateles terrae	0.8922	0.9160	0.01197	1.988
Caenimonas koreensis	0.9139	0.9159	0.01214	0.1647
Comamonas guangdongensis	0.9211	0.9158	0.01213	0.4369
Malikia spinosa	0.9180	0.9159	0.01214	0.1730
Lampropedia hyalina	0.8936	0.9160	0.01199	1.868
Hydrogenophaga luteola	0.9099	0.9159	0.01213	0.4946
Curvibacter delicatus	0.9263	0.9158	0.01211	0.8671
Acidovorax avenae	0.9277	0.9158	0.01210	0.9835
Roseateles depolymerans	0.8919	0.9160	0.01196	2.015
Hydrogenophaga caeni	0.9227	0.9158	0.01213	0.5688
Comamonas terrae	0.9129	0.9159	0.01214	0.2471
Comamonas zonglianii	0.9231	0.9158	0.01212	0.6023
Comamonas sediminis	0.9141	0.9159	0.01214	0.1483
Hydrogenophaga defluvii	0.9254	0.9158	0.01211	0.7927
Comamonas serinivorans	0.9193	0.9158	0.01214	0.2883
Extensimonas vulgaris	0.9127	0.9159	0.01214	0.2636
Polaromonas cryoconiti	0.9117	0.9159	0.01214	0.3460
Comamonas badia	0.8941	0.9160	0.01200	1.825
Pelomonas puraquae	0.9033	0.9160	0.01209	1.050
Hydrogenophaga bisanensis	0.9165	0.9159	0.01214	0.04942
Giesbergeria voronezhensis	0.9192	0.9158	0.01214	0.2801
Acidovorax defluvii	0.9245	0.9158	0.01212	0.7178
Caldimonas manganoxidans	0.8955	0.9160	0.01201	1.707
Ramlibacter tataouinensis	0.9182	0.9159	0.01214	0.1895
Pelomonas aquatica	0.8976	0.9160	0.01204	1.528
Diaphorobacter aerolatus	0.9143	0.9159	0.01214	0.1318
Hydrogenophaga laconesensis	0.9250	0.9158	0.01212	0.7591
Caldimonas taiwanensis	0.8924	0.9160	0.01197	1.972
Kinneretia asaccharophila	0.8927	0.9160	0.01198	1.945
Roseateles aquatilis	0.8942	0.9160	0.01200	1.817
Hydrogenophaga pseudoflava	0.9140	0.9159	0.01214	0.1565
Curvibacter lanceolatus	0.9236	0.9158	0.01212	0.6436
Lampropedia cohaerens	0.8966	0.9160	0.01203	1.613
Hydrogenophaga intermedia	0.9142	0.9159	0.01214	0.1400
Tibeticola sediminis	0.9222	0.9158	0.01213	0.5276
Tepidicella xavieri	0.8982	0.9160	0.01205	1.477
Brachymonas denitrificans	0.9086	0.9159	0.01212	0.6023
Schlegelella thermodepolymerans	0.8774	0.9162	0.01168	3.322
Macromonas bipunctata	0.9014	0.9160	0.01208	1.209
Simplicispira psychrophila	0.9202	0.9158	0.01214	0.3624
Polaromonas naphthalenivorans	0.9082	0.9159	0.01212	0.6353
Acidovorax temperans	0.9281	0.9158	0.01210	1.017
Melaminivora alkalimesophila	0.9021	0.9160	0.01208	1.151
Variovorax soli	0.9298	0.9158	0.01208	1.159
Malikia granosa	0.9138	0.9159	0.01214	0.1730
Diaphorobacter oryzae	0.9232	0.9158	0.01212	0.6106
Hydrogenophaga atypica	0.9250	0.9158	0.01212	0.7591
Delftia lacustris	0.9244	0.9158	0.01212	0.7096
Corticibacter populi	0.9001	0.9160	0.01206	1.318
Zhizhongheella caldifontis	0.8940	0.9160	0.01199	1.835
Variovorax defluvii	0.9293	0.9158	0.01209	1.117
Delftia rhizosphaerae	0.9225	0.9158	0.01213	0.5523
Variovorax paradoxus	0.9203	0.9158	0.01213	0.3710
Comamonas testosteroni	0.9220	0.9158	0.01213	0.5111
Acidovorax facilis	0.9237	0.9158	0.01212	0.6518
Variovorax ginsengisoli	0.9274	0.9158	0.01210	0.9587
Simplicispira metamorpha	0.9315	0.9158	0.01207	1.301
Acidovorax konjaci	0.9192	0.9158	0.01214	0.2801
Giesbergeria sinuosa	0.9225	0.9158	0.01213	0.5523
Xenophilus aerolatus	0.9325	0.9158	0.01206	1.385
Schlegelella aquatica	0.8770	0.9162	0.01167	3.359
