Algoriphagus yeomjeoni	0.9036	0.8873	0.01508	1.081
Cyclobacterium jeungdonense	0.8764	0.8877	0.01514	0.7464
Algoriphagus halophilus	0.9071	0.8873	0.01502	1.318
Algoriphagus aquatilis	0.8938	0.8875	0.01519	0.4147
Indibacter alkaliphilus	0.8708	0.8878	0.01507	1.128
Algoriphagus ratkowskyi	0.8978	0.8874	0.01515	0.6865
Mongoliitalea lutea	0.8756	0.8877	0.01514	0.7992
Algoriphagus vanfongensis	0.8958	0.8874	0.01517	0.5537
Cecembia calidifontis	0.8843	0.8876	0.01520	0.2171
Mongoliibacter ruber	0.8910	0.8875	0.01520	0.2303
Algoriphagus terrigena	0.8925	0.8875	0.01519	0.3292
Algoriphagus aquaeductus	0.8904	0.8875	0.01520	0.1908
Nitritalea halalkaliphila	0.8835	0.8876	0.01520	0.2697
Algoriphagus locisalis	0.8976	0.8874	0.01516	0.6728
Mariniradius saccharolyticus	0.8198	0.8885	0.01279	5.371
Algoriphagus litorisediminis	0.9008	0.8874	0.01512	0.8862
Algoriphagus zhangzhouensis	0.9051	0.8873	0.01506	1.182
Shivajiella indica	0.8721	0.8878	0.01509	1.040
Mongoliicoccus roseus	0.8720	0.8878	0.01509	1.047
Algoriphagus alkaliphilus	0.9026	0.8873	0.01510	1.013
Algoriphagus boritolerans	0.9010	0.8874	0.01512	0.8995
Cyclobacterium qasimii	0.8796	0.8877	0.01517	0.5339
Algoriphagus faecimaris	0.9040	0.8873	0.01507	1.108
Cyclobacterium amurskyense	0.8686	0.8878	0.01503	1.277
Lunatimonas salinarum	0.8847	0.8876	0.01520	0.1908
Algoriphagus hitonicola	0.9045	0.8873	0.01507	1.141
Cyclobacterium lianum	0.8721	0.8878	0.01509	1.040
Fontibacter ferrireducens	0.8860	0.8876	0.01520	0.1053
Belliella buryatensis	0.8920	0.8875	0.01520	0.2961
Algoriphagus antarcticus	0.9037	0.8873	0.01508	1.088
Cyclobacterium caenipelagi	0.8771	0.8877	0.01515	0.6997
Algoriphagus marincola	0.9047	0.8873	0.01506	1.155
Algoriphagus aestuariicola	0.9000	0.8874	0.01513	0.8328
Algoriphagus winogradskyi	0.9012	0.8874	0.01511	0.9133
Algoriphagus taiwanensis	0.9033	0.8873	0.01508	1.061
Fontibacter flavus	0.8815	0.8876	0.01519	0.4016
Algoriphagus ornithinivorans	0.9079	0.8873	0.01500	1.373
Algoriphagus boseongensis	0.8942	0.8875	0.01518	0.4414
Echinicola rosea	0.8778	0.8877	0.01516	0.6530
Belliella aquatica	0.8959	0.8874	0.01517	0.5603
Echinicola jeungdonensis	0.8756	0.8877	0.01514	0.7992
Algoriphagus lutimaris	0.9088	0.8872	0.01499	1.441
Cecembia rubra	0.8781	0.8877	0.01516	0.6332
Belliella marina	0.8842	0.8876	0.01520	0.2237
Echinicola pacifica	0.8710	0.8878	0.01507	1.115
Algoriphagus aquimarinus	0.8996	0.8874	0.01513	0.8063
Algoriphagus namhaensis	0.8994	0.8874	0.01514	0.7926
Algoriphagus aestuarii	0.9011	0.8874	0.01512	0.9061
Echinicola strongylocentroti	0.8726	0.8878	0.01510	1.007
Cecembia lonarensis	0.8827	0.8876	0.01519	0.3226
Aquiflexum balticum	0.8756	0.8877	0.01514	0.7992
Cyclobacterium xiamenense	0.8808	0.8877	0.01518	0.4545
Algoriphagus mannitolivorans	0.8979	0.8874	0.01515	0.6931
Algoriphagus resistens	0.8973	0.8874	0.01516	0.6530
Algoriphagus taeanensis	0.8981	0.8874	0.01515	0.7063
Lunatimonas lonarensis	0.8629	0.8879	0.01491	1.677
Belliella baltica	0.8930	0.8875	0.01519	0.3621
Algoriphagus roseus	0.9026	0.8873	0.01510	1.013
Algoriphagus trabzonensis	0.8788	0.8877	0.01517	0.5867
Algoriphagus iocasae	0.9025	0.8873	0.01510	1.007
Belliella kenyensis	0.8873	0.8876	0.01520	0.01974
Algoriphagus chordae	0.8905	0.8875	0.01520	0.1974
Algoriphagus olei	0.8884	0.8875	0.01520	0.05921
Cyclobacterium marinum	0.8814	0.8876	0.01519	0.4082
Algoriphagus confluentis	0.8910	0.8875	0.01520	0.2303
Cyclobacterium halophilum	0.8725	0.8878	0.01509	1.014
Algoriphagus chungangensis	0.8802	0.8877	0.01518	0.4941
Belliella pelovolcani	0.8745	0.8877	0.01512	0.8730
Algoriphagus jejuensis	0.8520	0.8881	0.01458	2.476
Echinicola vietnamensis	0.8761	0.8877	0.01514	0.7662
