Runella zeae	0.7785	0.7864	0.02003	0.3944
Dyadobacter psychrophilus	0.8104	0.7861	0.01987	1.223
Fibrisoma limi	0.7726	0.7865	0.01999	0.6953
Emticicia oligotrophica	0.7784	0.7864	0.02003	0.3994
Rhodocytophaga aerolata	0.7729	0.7865	0.01999	0.6803
Flectobacillus roseus	0.7888	0.7863	0.02004	0.1248
Arcicella aurantiaca	0.7951	0.7862	0.02002	0.4446
Flexibacter aurantiacus	0.7142	0.7872	0.01842	3.963
Spirosoma oryzae	0.7920	0.7863	0.02004	0.2844
Runella defluvii	0.7731	0.7865	0.01999	0.6703
Dyadobacter soli	0.8093	0.7861	0.01989	1.166
Lacihabitans soyangensis	0.7792	0.7864	0.02003	0.3595
Siphonobacter aquaeclarae	0.7872	0.7863	0.02005	0.04489
Emticicia paludis	0.7778	0.7864	0.02002	0.4296
Spirosoma aerolatum	0.8006	0.7862	0.01999	0.7204
Dyadobacter arcticus	0.8033	0.7861	0.01996	0.8617
Arcicella aquatica	0.7959	0.7862	0.02002	0.4845
Rhabdobacter roseus	0.7958	0.7862	0.02002	0.4795
Dyadobacter alkalitolerans	0.8012	0.7862	0.01998	0.7508
Dyadobacter crusticola	0.8020	0.7862	0.01997	0.7912
Jiulongibacter sediminis	0.7825	0.7864	0.02004	0.1946
Dyadobacter koreensis	0.8016	0.7862	0.01998	0.7708
Fluviimonas pallidilutea	0.7671	0.7866	0.01994	0.9779
Emticicia sediminis	0.7701	0.7865	0.01997	0.8212
Cytophaga xylanolytica	0.7288	0.7870	0.01903	3.058
Dyadobacter sediminis	0.7991	0.7862	0.02000	0.645
Nibrella saemangeumensis	0.7970	0.7862	0.02001	0.5397
Huanghella arctica	0.7805	0.7864	0.02004	0.2944
Arcicella rosea	0.7953	0.7862	0.02002	0.4545
Spirosoma spitsbergense	0.8000	0.7862	0.01999	0.6903
Rhodonellum psychrophilum	0.7814	0.7864	0.02004	0.2495
Emticicia fontis	0.7810	0.7864	0.02004	0.2695
Dyadobacter jejuensis	0.8051	0.7861	0.01994	0.9529
Dyadobacter beijingensis	0.7947	0.7862	0.02003	0.4244
Cytophaga hutchinsonii	0.7718	0.7865	0.01998	0.7357
Cytophaga aurantiaca	0.7641	0.7866	0.01990	1.131
Spirosoma soli	0.7952	0.7862	0.02002	0.4496
Spirosoma rigui	0.8004	0.7862	0.01999	0.7104
Emticicia aquatica	0.7694	0.7865	0.01996	0.8567
Spirosoma montaniterrae	0.7880	0.7863	0.02005	0.08479
Spirosoma linguale	0.8061	0.7861	0.01993	1.004
Runella limosa	0.7755	0.7865	0.02001	0.5497
Spirosoma luteum	0.7938	0.7863	0.02003	0.3744
Sporocytophaga myxococcoides	0.7817	0.7864	0.02004	0.2345
Larkinella arboricola	0.7945	0.7862	0.02003	0.4144
Dyadobacter endophyticus	0.8029	0.7861	0.01996	0.8417
Flectobacillus lacus	0.8027	0.7861	0.01997	0.8312
Dyadobacter ginsengisoli	0.7994	0.7862	0.02000	0.66
Spirosoma radiotolerans	0.8007	0.7862	0.01998	0.7257
Litoribacter alkaliphilus	0.7786	0.7864	0.02003	0.3894
Dyadobacter hamtensis	0.7934	0.7863	0.02003	0.3545
Dyadobacter tibetensis	0.7870	0.7863	0.02005	0.03491
Meniscus glaucopis	0.7177	0.7872	0.01858	3.741
Pseudarcicella hirudinis	0.7993	0.7862	0.02000	0.655
Nibrella viscosa	0.7886	0.7863	0.02005	0.1147
Runella slithyformis	0.7705	0.7865	0.01997	0.8012
Larkinella bovis	0.7908	0.7863	0.02004	0.2246
Litoribacter ruber	0.7750	0.7865	0.02001	0.5747
Rudanella lutea	0.7918	0.7863	0.02004	0.2745
Ekhidna lutea	0.7668	0.7866	0.01993	0.9935
Spirosoma pulveris	0.8080	0.7861	0.01991	1.100
Flectobacillus fontis	0.7984	0.7862	0.02000	0.61
Runella palustris	0.7731	0.7865	0.01999	0.6703
Spirosoma fluviale	0.8025	0.7862	0.01997	0.8162
Fibrella aestuarina	0.7644	0.7866	0.01990	1.116
Telluribacter humicola	0.7908	0.7863	0.02004	0.2246
Emticicia ginsengisoli	0.7850	0.7864	0.02005	0.06983
Arcticibacterium luteifluviistationis	0.7705	0.7865	0.01997	0.8012
Spirosoma endophyticum	0.8052	0.7861	0.01994	0.9579
Larkinella insperata	0.7873	0.7863	0.02005	0.04988
Dyadobacter fermentans	0.7915	0.7863	0.02004	0.2595
Arcicella rigui	0.7986	0.7862	0.02000	0.62
Spirosoma knui	0.8025	0.7862	0.01997	0.8162
Spirosoma swuense	0.7961	0.7862	0.02002	0.4945
Spirosoma aerophilum	0.7814	0.7864	0.02004	0.2495
Spirosoma fluminis	0.7651	0.7866	0.01991	1.080
Spirosoma panaciterrae	0.7604	0.7867	0.01984	1.326
Flectobacillus rhizosphaerae	0.8125	0.7860	0.01984	1.336
Persicitalea jodogahamensis	0.7395	0.7869	0.01938	2.446
Emticicia aquatilis	0.7889	0.7863	0.02004	0.1297
Flexibacter flexilis	0.7797	0.7864	0.02003	0.3345
Taeseokella kangwonensis	0.7857	0.7864	0.02005	0.03491
Dyadobacter jiangsuensis	0.7885	0.7863	0.02005	0.1097
Flectobacillus pallidus	0.8550	0.7855	0.01858	3.741
Leadbetterella byssophila	0.7903	0.7863	0.02004	0.1996
