Deinococcus frigens	0.8735	0.8686	0.01908	0.2568
Deinococcus depolymerans	0.8914	0.8684	0.01888	1.218
Deinococcus aetherius	0.8470	0.8690	0.01890	1.164
Deinococcus aquaticus	0.8960	0.8683	0.01879	1.474
Deinococcus murrayi	0.8705	0.8687	0.01909	0.09429
Deinococcus soli	0.8967	0.8683	0.01877	1.513
Deinococcus radiotolerans	0.8897	0.8684	0.01891	1.126
Deinococcus deserti	0.8890	0.8684	0.01892	1.089
Deinococcus sedimenti	0.8922	0.8684	0.01887	1.261
Deinococcus claudionis	0.8700	0.8687	0.01909	0.06810
Deinococcus cellulosilyticus	0.8294	0.8693	0.01846	2.161
Deinococcus radioresistens	0.8778	0.8686	0.01906	0.4827
Deinococcus metallilatus	0.8474	0.8690	0.01891	1.142
Deinococcus maricopensis	0.8499	0.8690	0.01895	1.008
Deinococcus yunweiensis	0.8660	0.8688	0.01909	0.1467
Deinococcus puniceus	0.8710	0.8687	0.01909	0.1205
Deinococcus misasensis	0.8269	0.8693	0.01838	2.307
Deinococcus yavapaiensis	0.8313	0.8693	0.01852	2.052
Deinococcus sonorensis	0.8655	0.8688	0.01908	0.1730
Deinococcus roseus	0.8239	0.8694	0.01827	2.490
Deinococcus saxicola	0.8846	0.8685	0.01899	0.8478
Deinococcus citri	0.8828	0.8685	0.01901	0.7522
Deinococcus aerolatus	0.8807	0.8685	0.01903	0.6411
Deinococcus ficus	0.8866	0.8684	0.01896	0.9599
Deinococcus indicus	0.8906	0.8684	0.01890	1.175
Deinococcus metalli	0.8760	0.8686	0.01907	0.3880
Deinococcus carri	0.8715	0.8687	0.01908	0.1468
Deinococcus ruber	0.8639	0.8688	0.01908	0.2568
Deinococcus humi	0.8777	0.8686	0.01906	0.4774
Deinococcus proteolyticus	0.8708	0.8687	0.01909	0.1100
Deinococcus peraridilitoris	0.8431	0.8691	0.01883	1.381
Deinococcus knuensis	0.8950	0.8683	0.01881	1.419
Deinococcus saudiensis	0.8979	0.8683	0.01875	1.579
Deinococcus radiopugnans	0.8794	0.8686	0.01904	0.5672
Deinococcus navajonensis	0.8868	0.8684	0.01896	0.9705
Deinococcus actinosclerus	0.8936	0.8683	0.01884	1.343
Deinococcus swuensis	0.8679	0.8687	0.01909	0.04191
Deinococcus hopiensis	0.8815	0.8685	0.01902	0.6835
Deinococcus arenae	0.8909	0.8684	0.01889	1.191
Deinococcus alpinitundrae	0.8511	0.8690	0.01896	0.9441
Deinococcus hohokamensis	0.8816	0.8685	0.01902	0.6887
Deinococcus xinjiangensis	0.8762	0.8686	0.01907	0.3985
Deinococcus aquiradiocola	0.8693	0.8687	0.01909	0.03143
Deinococcus wulumuqiensis	0.8766	0.8686	0.01906	0.4197
Deinococcus radiophilus	0.8622	0.8688	0.01907	0.3461
Deinococcus radiomollis	0.8691	0.8687	0.01909	0.02095
Deinococcus aerophilus	0.8674	0.8687	0.01909	0.06810
Deinococcus seoulensis	0.8881	0.8684	0.01894	1.040
Deinococcus geothermalis	0.8535	0.8689	0.01900	0.8105
Deinococcus grandis	0.8849	0.8685	0.01898	0.8641
Deinococcus papagonensis	0.8302	0.8693	0.01849	2.115
Deinococcus daejeonensis	0.8876	0.8684	0.01895	1.013
Deinococcus budaensis	0.8715	0.8687	0.01908	0.1468
Deinococcus aerius	0.8481	0.8690	0.01892	1.105
Deinococcus enclensis	0.8453	0.8691	0.01887	1.261
Deinococcus gobiensis	0.8778	0.8686	0.01906	0.4827
Deinococcus antarcticus	0.8574	0.8689	0.01904	0.6040
Deinococcus piscis	0.8582	0.8689	0.01904	0.5620
Deinococcus persicinus	0.8497	0.8690	0.01894	1.019
Deinococcus radiodurans	0.8744	0.8686	0.01908	0.3040
Deinococcus pimensis	0.8392	0.8692	0.01874	1.601
Deinococcus reticulitermitis	0.8697	0.8687	0.01909	0.05238
Deinococcus marmoris	0.8733	0.8686	0.01908	0.2463
Deinococcus caeni	0.8717	0.8687	0.01908	0.1572
Deinococcus altitudinis	0.8599	0.8688	0.01906	0.4669
Deinococcus apachensis	0.8525	0.8690	0.01898	0.8693
Deinobacterium chartae	0.8362	0.8692	0.01866	1.768
Deinococcus phoenicis	0.8634	0.8688	0.01908	0.2830
