Brachybacterium muris	0.9417	0.9414	0.008749	0.03429
Brachybacterium nesterenkovii	0.9490	0.9411	0.008591	0.9196
Brachybacterium conglomeratum	0.9508	0.9410	0.008506	1.152
Brachybacterium phenoliresistens	0.9386	0.9415	0.008727	0.3323
Brachybacterium zhongshanense	0.9336	0.9418	0.008581	0.9556
Brachybacterium squillarum	0.9513	0.9410	0.008479	1.215
Devriesea agamarum	0.9324	0.9418	0.008525	1.103
Dermabacter hominis	0.9243	0.9422	0.007913	2.262
Brachybacterium saurashtrense	0.9520	0.9409	0.008439	1.315
Brachybacterium horti	0.9336	0.9418	0.008581	0.9556
Brachybacterium tyrofermentans	0.9428	0.9414	0.008744	0.1601
Brachybacterium faecium	0.9512	0.9410	0.008485	1.202
Brachybacterium fresconis	0.9471	0.9412	0.008661	0.6812
Helcobacillus massiliensis	0.9299	0.9419	0.008381	1.432
Brachybacterium ginsengisoli	0.9367	0.9416	0.008688	0.5640
Brachybacterium alimentarium	0.9460	0.9412	0.008692	0.5522
Brachybacterium aquaticum	0.9423	0.9414	0.008747	0.1029
Dermabacter jinjuensis	0.9319	0.9419	0.008499	1.177
Brachybacterium paraconglomeratum	0.9472	0.9412	0.008658	0.6930
Dermabacter vaginalis	0.9296	0.9420	0.008361	1.483
Brachybacterium huguangmaarense	0.9507	0.9410	0.008512	1.140
Brachybacterium hainanense	0.9534	0.9409	0.00835	1.497
Brachybacterium sacelli	0.9365	0.9416	0.008683	0.5874
