Luteipulveratus mongoliensis	0.9264	0.9215	0.009159	0.5350
Barrientosiimonas marina	0.9190	0.9218	0.009197	0.3044
Dermacoccus abyssi	0.9326	0.9212	0.008904	1.280
Flexivirga oryzae	0.9177	0.9219	0.009175	0.4578
Branchiibius hedensis	0.9244	0.9216	0.009197	0.3044
Flexivirga lutea	0.9226	0.9217	0.009214	0.09768
Barrientosiimonas humi	0.9229	0.9216	0.009212	0.1411
Kytococcus aerolatus	0.9174	0.9219	0.009168	0.4908
Barrientosiimonas endolithica	0.9061	0.9224	0.008566	1.903
Dermacoccus nishinomiyaensis	0.9334	0.9212	0.008856	1.378
Dermacoccus profundi	0.9326	0.9212	0.008904	1.280
Flexivirga endophytica	0.9277	0.9214	0.009123	0.6906
Flexivirga alba	0.9166	0.9219	0.009149	0.5793
Kytococcus schroeteri	0.9069	0.9224	0.008633	1.795
Yimella lutea	0.9230	0.9216	0.009212	0.1520
Luteipulveratus halotolerans	0.9286	0.9214	0.009092	0.7919
Yimella radicis	0.9347	0.9211	0.00877	1.551
Calidifontibacter terrae	0.9330	0.9212	0.008881	1.329
Kytococcus sedentarius	0.9040	0.9225	0.008369	2.211
Rudaeicoccus suwonensis	0.9197	0.9218	0.009206	0.2281
Calidifontibacter indicus	0.9253	0.9215	0.009183	0.4138
Dermacoccus barathri	0.9168	0.9219	0.009154	0.5571
Branchiibius cervicis	0.9077	0.9223	0.008696	1.679
