Desulfatirhabdium butyrativorans	0.8354	0.8331	0.01454	0.1582
Desulfospira joergensenii	0.8333	0.8332	0.01454	0.006878
Desulfonatronobacter acidivorans	0.8415	0.8330	0.01449	0.5866
Desulfonema limicola	0.8328	0.8332	0.01454	0.02751
Desulfobacterium autotrophicum	0.8351	0.8332	0.01454	0.1307
Desulfobacter vibrioformis	0.8325	0.8332	0.01454	0.04814
Desulfatitalea tepidiphila	0.8422	0.8330	0.01448	0.6354
Desulfobacter halotolerans	0.8249	0.8334	0.01449	0.5866
Desulfoluna spongiiphila	0.8511	0.8328	0.01429	1.281
Desulfofrigus fragile	0.8370	0.8331	0.01453	0.2684
Desulfotignum balticum	0.8409	0.8330	0.01449	0.5452
Desulfatiglans anilini	0.8021	0.8339	0.01378	2.308
Desulfatibacillum aliphaticivorans	0.8464	0.8329	0.01441	0.9368
Desulfosarcina ovata	0.8453	0.8329	0.01443	0.8593
Desulfosarcina variabilis	0.8370	0.8331	0.01453	0.2684
Desulfobacterium niacini	0.8319	0.8332	0.01454	0.08941
Desulforegula conservatrix	0.8303	0.8333	0.01453	0.2065
Desulfococcus multivorans	0.8452	0.8329	0.01443	0.8524
Desulfobotulus sapovorans	0.8287	0.8333	0.01452	0.3168
Desulfofaba hansenii	0.8344	0.8332	0.01454	0.08253
Desulfococcus biacutus	0.8331	0.8332	0.01454	0.006878
Desulfotignum phosphitoxidans	0.8459	0.8329	0.01442	0.9015
Desulfobacter curvatus	0.8336	0.8332	0.01454	0.02751
Desulfofaba fastidiosa	0.8434	0.8330	0.01446	0.7192
Desulfocella halophila	0.7912	0.8341	0.01312	3.270
Desulfonema ishimotonii	0.8133	0.8336	0.01423	1.427
Desulfobacter latus	0.8274	0.8333	0.01451	0.4066
Desulfatiglans parachlorophenolica	0.7961	0.8340	0.01345	2.818
Desulfoconvexum algidum	0.8377	0.8331	0.01452	0.3168
Desulfobacter postgatei	0.8319	0.8332	0.01454	0.08941
Desulfofrigus oceanense	0.8457	0.8329	0.01442	0.8877
Desulfobacula phenolica	0.8328	0.8332	0.01454	0.02751
Desulfonatronobacter acetoxydans	0.8415	0.8330	0.01449	0.5866
Desulfonema magnum	0.8358	0.8331	0.01453	0.1858
Desulfatiferula olefinivorans	0.8620	0.8326	0.01389	2.117
Desulfobacterium catecholicum	0.7963	0.8340	0.01346	2.801
Desulfobacter hydrogenophilus	0.8257	0.8334	0.01450	0.5310
Desulfatiferula berrensis	0.8506	0.8328	0.01431	1.244
Desulfofaba gelida	0.8475	0.8329	0.01438	1.015
Desulfoluna butyratoxydans	0.8247	0.8334	0.01448	0.6008
Desulfatibacillum alkenivorans	0.8478	0.8329	0.01438	1.036
Desulfobacula toluolica	0.8304	0.8333	0.01453	0.1996
Desulfosalsimonas propionicica	0.8344	0.8332	0.01454	0.08253
Desulfobotulus alkaliphilus	0.8285	0.8333	0.01452	0.3306
Desulfobacterium indolicum	0.8403	0.8330	0.01450	0.5034
Desulfobacterium vacuolatum	0.8404	0.8330	0.01450	0.5103
Desulfosarcina cetonica	0.8142	0.8336	0.01426	1.360
