Desulfothermus naphthae	0.8349	0.8508	0.02604	0.6106
Desulfohalobium retbaense	0.8347	0.8509	0.02602	0.6226
Desulfonauticus submarinus	0.8333	0.8510	0.02595	0.6821
Desulfonatronovibrio halophilus	0.8817	0.8469	0.02459	1.415
Desulfonatronospira delicata	0.8830	0.8468	0.02443	1.482
Desulfonauticus autotrophicus	0.8239	0.8518	0.02525	1.105
Desulfovermiculus halophilus	0.8506	0.8495	0.02641	0.04165
Desulfonatronovibrio magnus	0.8777	0.8473	0.02502	1.215
Desulfonatronospira sulfatiphila	0.8771	0.8473	0.02508	1.188
Desulfohalobium utahense	0.8236	0.8518	0.02522	1.118
Desulfonatronovibrio hydrogenovorans	0.8652	0.8483	0.02599	0.6503
Desulfonatronospira thiodismutans	0.8579	0.8489	0.02629	0.3423
Desulfonatronovibrio thiodismutans	0.8014	0.8536	0.02208	2.364
