Desulfovibrio idahonensis	0.8447	0.8363	0.01159	0.7248
Desulfovibrio fructosivorans	0.8193	0.8367	0.01144	1.521
Bilophila wadsworthia	0.8259	0.8366	0.01156	0.9256
Pseudodesulfovibrio portus	0.8375	0.8364	0.01163	0.09458
Halodesulfovibrio oceani subsp. oceani	0.8145	0.8368	0.01131	1.972
Desulfovibrio aminophilus	0.8359	0.8365	0.01163	0.05159
Desulfovibrio aerotolerans	0.8440	0.8363	0.01159	0.6644
Desulfovibrio salexigens	0.8486	0.8363	0.01154	1.066
Lawsonia intracellularis	0.8133	0.8368	0.01128	2.083
Desulfovibrio arcticus	0.8420	0.8364	0.01161	0.4823
Desulfovibrio inopinatus	0.8399	0.8364	0.01162	0.3012
Desulfovibrio carbinolicus	0.8428	0.8364	0.01161	0.5512
Desulfovibrio longus	0.8494	0.8363	0.01152	1.137
Halodesulfovibrio spirochaetisodalis	0.8160	0.8368	0.01136	1.831
Halodesulfovibrio marinisediminis	0.8143	0.8368	0.01131	1.989
Desulfovibrio vietnamensis	0.8319	0.8365	0.01162	0.3959
Desulfovibrio giganteus	0.8432	0.8364	0.01160	0.5862
Desulfovibrio litoralis	0.8132	0.8368	0.01127	2.094
Desulfovibrio gigas	0.8339	0.8365	0.01163	0.2236
Desulfocurvus vexinensis	0.8482	0.8363	0.01154	1.031
Desulfovibrio zosterae	0.8375	0.8364	0.01163	0.09458
Halodesulfovibrio oceani subsp. galateae	0.8077	0.8369	0.01108	2.635
Desulfovibrio gracilis	0.8445	0.8363	0.01159	0.7075
Desulfovibrio africanus	0.8380	0.8364	0.01163	0.1376
Pseudodesulfovibrio profundus	0.8472	0.8363	0.01156	0.9429
Desulfovibrio cuneatus	0.8096	0.8369	0.01115	2.448
Desulfovibrio sulfodismutans	0.8403	0.8364	0.01162	0.3356
Desulfovibrio alcoholivorans	0.8435	0.8364	0.01160	0.6121
Pseudodesulfovibrio aespoeensis	0.8534	0.8362	0.01144	1.503
Desulfovibrio indonesiensis	0.8470	0.8363	0.01156	0.9256
Desulfovibrio simplex	0.8397	0.8364	0.01162	0.2840
Desulfovibrio oxamicus	0.8448	0.8363	0.01159	0.7334
Desulfovibrio hydrothermalis	0.8437	0.8364	0.01160	0.6293
Desulfovibrio bastinii	0.8398	0.8364	0.01162	0.2926
Desulfovibrio carbinoliphilus	0.8385	0.8364	0.01163	0.1806
Desulfovibrio dechloracetivorans	0.8466	0.8363	0.01156	0.8910
Desulfovibrio vulgaris	0.8456	0.8363	0.01158	0.8031
Desulfovibrio legallii	0.8277	0.8366	0.01158	0.7686
Halodesulfovibrio aestuarii	0.8059	0.8369	0.01101	2.816
Desulfovibrio magneticus	0.8425	0.8364	0.01161	0.5254
Desulfovibrio alaskensis	0.8275	0.8366	0.01158	0.7858
Desulfovibrio ferrireducens	0.8383	0.8364	0.01163	0.1634
Desulfovibrio frigidus	0.8320	0.8365	0.01162	0.3873
Desulfocurvus thunnarius	0.8476	0.8363	0.01155	0.9784
Desulfovibrio mexicanus	0.8389	0.8364	0.01163	0.2150
Desulfovibrio marrakechensis	0.8433	0.8364	0.01160	0.5948
Desulfovibrio intestinalis	0.8308	0.8365	0.01161	0.4910
Desulfovibrio psychrotolerans	0.8270	0.8366	0.01157	0.8297
Desulfovibrio bizertensis	0.8230	0.8367	0.01151	1.190
Pseudodesulfovibrio piezophilus	0.8485	0.8363	0.01154	1.057
Desulfovibrio burkinensis	0.8400	0.8364	0.01162	0.3098
Desulfovibrio tunisiensis	0.8474	0.8363	0.01155	0.9610
Desulfovibrio senezii	0.8478	0.8363	0.01155	0.9957
Desulfovibrio gabonensis	0.8499	0.8363	0.01151	1.182
Desulfovibrio africanus subsp. uniflagellum	0.8417	0.8364	0.01161	0.4565
Desulfovibrio paquesii	0.8373	0.8364	0.01163	0.07739
Desulfovibrio halophilus	0.8405	0.8364	0.01162	0.3528
Desulfovibrio butyratiphilus	0.8414	0.8364	0.01162	0.4303
Desulfovibrio oxyclinae	0.8303	0.8366	0.01161	0.5426
Desulfobaculum xiamenense	0.8372	0.8364	0.01163	0.06879
Desulfovibrio biadhensis	0.8395	0.8364	0.01163	0.2666
Desulfovibrio longreachensis	0.8339	0.8365	0.01163	0.2236
Desulfovibrio piger	0.8338	0.8365	0.01163	0.2322
Desulfovibrio marinus	0.8435	0.8364	0.01160	0.6121
Desulfovibrio capillatus	0.8363	0.8365	0.01163	0.01720
Desulfovibrio termitidis	0.8240	0.8366	0.01153	1.093
Desulfovibrio putealis	0.8405	0.8364	0.01162	0.3528
Desulfovibrio alkalitolerans	0.8554	0.8362	0.01140	1.684
