Desulfuromonas michiganensis	0.9052	0.8957	0.01999	0.4752
Desulfuromonas acetoxidans	0.8949	0.8963	0.0201	0.06965
Desulfuromusa ferrireducens	0.8956	0.8963	0.02011	0.03481
Pelobacter carbinolicus	0.9085	0.8956	0.01989	0.6486
Pelobacter acidigallici	0.8938	0.8964	0.02010	0.1294
Pelobacter acetylenicus	0.9055	0.8957	0.01998	0.4905
Pelobacter venetianus	0.8979	0.8961	0.02010	0.08955
Desulfuromonas chloroethenica	0.8803	0.8971	0.01973	0.8515
Desulfuromusa kysingii	0.9071	0.8956	0.01993	0.5770
Desulfuromonas thiophila	0.8848	0.8969	0.01991	0.6077
Desulfuromonas svalbardensis	0.8819	0.8970	0.01980	0.7626
Desulfuromusa succinoxidans	0.9058	0.8957	0.01997	0.5058
Desulfuromonas carbonis	0.8923	0.8965	0.02008	0.2092
Pelobacter propionicus	0.8508	0.8988	0.01683	2.852
Malonomonas rubra	0.9078	0.8956	0.01991	0.6128
Desulfuromonas acetexigens	0.8771	0.8973	0.01956	1.033
Desulfuromonas palmitatis	0.8723	0.8976	0.01925	1.314
Desulfuromusa bakii	0.9228	0.8948	0.01905	1.470
Pelobacter seleniigenes	0.9441	0.8936	0.01643	3.074
