Dietzia psychralcaliphila	0.9420	0.9560	0.01092	1.282
Dietzia aerolata	0.9714	0.9533	0.01041	1.739
Dietzia schimae	0.9696	0.9535	0.01067	1.509
Dietzia alimentaria	0.9590	0.9544	0.01157	0.3976
Dietzia maris	0.9640	0.9540	0.01128	0.8865
Dietzia kunjamensis	0.9400	0.9562	0.01067	1.518
Dietzia aurantiaca	0.9628	0.9541	0.01137	0.7652
Dietzia cercidiphylli	0.9479	0.9554	0.01144	0.6556
Dietzia cinnamea	0.9641	0.9540	0.01127	0.8962
Dietzia natronolimnaea	0.9438	0.9558	0.01112	1.079
Dietzia timorensis	0.9412	0.9561	0.01083	1.376
Dietzia papillomatosis	0.9520	0.9551	0.01161	0.2670
