Halofilum ochraceum	0.8623	0.8682	0.01566	0.3768
Thiogranum longum	0.8435	0.8686	0.01522	1.649
Alkalilimnicola ehrlichii	0.8863	0.8676	0.01543	1.212
Halorhodospira neutriphila	0.8408	0.8687	0.01511	1.846
Ectothiorhodospira magna	0.8800	0.8678	0.01557	0.7836
Ectothiorhodospira salini	0.8774	0.8678	0.01562	0.6146
Aquisalimonas lutea	0.8734	0.8679	0.01566	0.3512
Alkalispirillum mobile	0.8810	0.8678	0.01556	0.8483
Thioalkalivibrio thiocyanodenitrificans	0.8854	0.8677	0.01545	1.146
Methylonatrum kenyense	0.8747	0.8679	0.01565	0.4345
Nitrococcus mobilis	0.8496	0.8685	0.01542	1.226
Inmirania thermothiophila	0.8606	0.8682	0.01564	0.4859
Thioalkalivibrio nitratis	0.8738	0.8679	0.01566	0.3768
Halopeptonella vilamensis	0.8690	0.8680	0.01568	0.06378
Spiribacter curvatus	0.8689	0.8680	0.01568	0.05740
Thioalbus denitrificans	0.8679	0.8681	0.01568	0.01276
Thiohalospira halophila	0.8589	0.8683	0.01562	0.6018
Halorhodospira abdelmalekii	0.8349	0.8688	0.01482	2.287
Aquisalimonas asiatica	0.8711	0.8680	0.01568	0.1977
Ectothiorhodospira variabilis	0.8831	0.8677	0.01551	0.9929
Thioalkalivibrio sulfidiphilus	0.8925	0.8675	0.01522	1.643
Aquisalimonas halophila	0.8739	0.8679	0.01566	0.3831
Alkalilimnicola halodurans	0.8758	0.8679	0.01564	0.5051
Ectothiorhodospira marina	0.8677	0.8681	0.01568	0.02551
Spiribacter salinus	0.8636	0.8682	0.01567	0.2936
Natronocella acetinitrilica	0.8782	0.8678	0.01560	0.6667
Halorhodospira halophila	0.8557	0.8684	0.01557	0.8157
Arhodomonas recens	0.8587	0.8683	0.01562	0.6146
Thioalkalivibrio versutus	0.8815	0.8678	0.01555	0.8810
Halorhodospira halochloris	0.8339	0.8689	0.01477	2.370
Thiorhodospira sibirica	0.8752	0.8679	0.01564	0.4668
Oceanococcus atlanticus	0.8389	0.8687	0.01502	1.984
Thiohalospira alkaliphila	0.8589	0.8683	0.01562	0.6018
Thioalkalivibrio nitratireducens	0.8808	0.8678	0.01556	0.8355
Ectothiorhodospira mobilis	0.8573	0.8683	0.01559	0.7056
Spiribacter roseus	0.8544	0.8684	0.01554	0.9009
Thioalkalivibrio halophilus	0.8898	0.8676	0.01532	1.449
Ectothiorhodospira haloalkaliphila	0.8756	0.8679	0.01564	0.4923
Thioalkalivibrio jannaschii	0.8730	0.8679	0.01566	0.3257
Acidihalobacter prosperus	0.8588	0.8683	0.01562	0.6082
Thioalkalivibrio thiocyanoxidans	0.8892	0.8676	0.01534	1.408
Thioalkalivibrio paradoxus	0.8714	0.8680	0.01567	0.2170
Arhodomonas aquaeolei	0.8489	0.8685	0.01540	1.273
Ectothiorhodosinus mongolicus	0.8985	0.8674	0.01496	2.079
