Gordonibacter faecihominis	0.8927	0.8789	0.02112	0.6534
Parvibacter caecicola	0.8942	0.8788	0.02107	0.7309
Gordonibacter urolithinfaciens	0.8926	0.8789	0.02113	0.6484
Slackia heliotrinireducens	0.8749	0.8799	0.02132	0.2345
Denitrobacterium detoxificans	0.8604	0.8806	0.02086	0.9684
Slackia piriformis	0.8841	0.8794	0.02132	0.2205
Eggerthella lenta	0.8834	0.8794	0.02133	0.1875
Slackia exigua	0.8647	0.8804	0.02106	0.7455
Enterorhabdus caecimuris	0.9019	0.8784	0.02069	1.136
Paraeggerthella hongkongensis	0.8822	0.8795	0.02134	0.1265
Enterorhabdus muris	0.8960	0.8787	0.02100	0.8238
Slackia equolifaciens	0.8724	0.8800	0.02128	0.3571
Slackia faecicanis	0.8625	0.8805	0.02097	0.8584
Eggerthella sinensis	0.8771	0.8797	0.02134	0.1218
Enterorhabdus mucosicola	0.8963	0.8787	0.02098	0.8389
Senegalimassilia anaerobia	0.8477	0.8813	0.01998	1.682
Cryptobacterium curtum	0.8347	0.8820	0.01855	2.550
Gordonibacter pamelaeae	0.8684	0.8802	0.02118	0.5571
Asaccharobacter celatus	0.9330	0.8768	0.01726	3.256
Adlercreutzia equolifaciens	0.8729	0.8800	0.02129	0.3335
