Vagococcus fluvialis	0.9150	0.9286	0.01947	0.6985
Enterococcus lactis	0.9396	0.9282	0.01949	0.5849
Enterococcus saccharolyticus subsp. taiwanensis	0.9387	0.9282	0.01949	0.5387
Enterococcus raffinosus	0.9431	0.9282	0.01945	0.7661
Enterococcus dispar	0.9395	0.9282	0.01949	0.5798
Enterococcus asini	0.9338	0.9283	0.01952	0.2818
Vagococcus fessus	0.9114	0.9286	0.01943	0.8852
Enterococcus villorum	0.9427	0.9282	0.01946	0.7451
Tetragenococcus osmophilus	0.8909	0.9289	0.01901	1.999
Enterococcus ureilyticus	0.9421	0.9282	0.01946	0.7143
Enterococcus lemanii	0.9338	0.9283	0.01952	0.2818
Enterococcus ratti	0.9375	0.9282	0.01950	0.4769
Enterococcus diestrammenae	0.9260	0.9284	0.01953	0.1229
Enterococcus saigonensis	0.9426	0.9282	0.01946	0.7400
Enterococcus eurekensis	0.9272	0.9284	0.01953	0.06144
Enterococcus aquimarinus	0.9272	0.9284	0.01953	0.06144
Enterococcus quebecensis	0.9399	0.9282	0.01948	0.6006
Enterococcus hirae	0.9456	0.9281	0.01942	0.9011
Enterococcus thailandicus	0.9366	0.9282	0.01951	0.4305
Enterococcus saccharolyticus	0.9384	0.9282	0.01950	0.5231
Enterococcus moraviensis	0.9353	0.9283	0.01952	0.3586
Enterococcus canis	0.9355	0.9283	0.01951	0.3690
Enterococcus gilvus	0.9428	0.9282	0.01946	0.7503
Melissococcus plutonius	0.9118	0.9286	0.01943	0.8646
Enterococcus crotali	0.9372	0.9282	0.01950	0.4615
Enterococcus pallens	0.9369	0.9282	0.01951	0.4459
Enterococcus faecalis	0.9264	0.9284	0.01953	0.1024
Tetragenococcus solitarius	0.8846	0.9290	0.01881	2.360
Tetragenococcus koreensis	0.8925	0.9289	0.01905	1.911
Enterococcus sulfureus	0.9369	0.9282	0.01951	0.4459
Vagococcus acidifermentans	0.9172	0.9285	0.01949	0.5798
Vagococcus penaei	0.9151	0.9286	0.01947	0.6934
Vagococcus carniphilus	0.9183	0.9285	0.01950	0.5231
Enterococcus xiangfangensis	0.9420	0.9282	0.01946	0.7091
Enterococcus faecium	0.9375	0.9282	0.01950	0.4769
Tetragenococcus halophilus subsp. flandriensis	0.8934	0.9289	0.01907	1.862
Enterococcus plantarum	0.9401	0.9282	0.01948	0.6109
Enterococcus casseliflavus	0.9431	0.9282	0.01945	0.7661
Vagococcus humatus	0.9201	0.9285	0.01951	0.4305
Enterococcus pseudoavium	0.9438	0.9281	0.01944	0.8076
Enterococcus mundtii	0.9388	0.9282	0.01949	0.5439
Enterococcus italicus	0.9271	0.9284	0.01953	0.06656
Bavariicoccus seileri	0.8856	0.9290	0.01884	2.304
Enterococcus haemoperoxidus	0.9319	0.9283	0.01953	0.1843
Enterococcus gallinarum	0.9355	0.9283	0.01951	0.3690
Enterococcus ureasiticus	0.9365	0.9283	0.01951	0.4203
Enterococcus cecorum	0.9185	0.9285	0.01950	0.5128
Tetragenococcus halophilus subsp. halophilus	0.8867	0.9290	0.01888	2.240
Enterococcus durans	0.9439	0.9281	0.01944	0.8128
Enterococcus termitis	0.9420	0.9282	0.01946	0.7091
Vagococcus entomophilus	0.9232	0.9284	0.01952	0.2664
Enterococcus rotai	0.9358	0.9283	0.01951	0.3844
Vagococcus elongatus	0.9179	0.9285	0.01949	0.5439
Tetragenococcus muriaticus	0.8733	0.9292	0.01837	3.043
Pilibacter termitis	0.8660	0.9293	0.01803	3.511
Enterococcus avium	0.9482	0.9281	0.01939	1.037
Enterococcus olivae	0.9408	0.9282	0.01948	0.6468
Catellicoccus marimammalium	0.8978	0.9288	0.01918	1.616
Enterococcus devriesei	0.9527	0.9280	0.01931	1.279
Enterococcus phoeniculicola	0.9357	0.9283	0.01951	0.3793
Enterococcus columbae	0.9148	0.9286	0.01947	0.7088
Enterococcus alcedinis	0.9389	0.9282	0.01949	0.5490
Enterococcus viikkiensis	0.9486	0.9281	0.01938	1.058
Enterococcus caccae	0.9464	0.9281	0.01941	0.9428
Enterococcus camelliae	0.9319	0.9283	0.01953	0.1843
Enterococcus canintestini	0.9460	0.9281	0.01942	0.9217
Vagococcus salmoninarum	0.9133	0.9286	0.01945	0.7866
Enterococcus hermanniensis	0.9389	0.9282	0.01949	0.5490
Enterococcus malodoratus	0.9340	0.9283	0.01952	0.2920
Enterococcus silesiacus	0.9565	0.9280	0.01924	1.481
Enterococcus rivorum	0.9447	0.9281	0.01943	0.8543
