Pantoea coffeiphila	0.9577	0.9464	0.00931	1.214
Erwinia uzenensis	0.9485	0.9466	0.009461	0.2008
Erwinia amylovora	0.9520	0.9465	0.009429	0.5833
Tatumella ptyseos	0.9445	0.9467	0.00946	0.2326
Pantoea dispersa	0.9584	0.9464	0.00929	1.292
Erwinia persicina	0.9527	0.9465	0.009419	0.6582
Erwinia tracheiphila	0.9256	0.9471	0.008893	2.418
Pantoea gaviniae	0.9540	0.9465	0.009397	0.7981
Pantoea brenneri	0.9564	0.9464	0.009345	1.070
Erwinia toletana	0.9492	0.9466	0.009457	0.2749
Pantoea anthophila	0.9550	0.9464	0.009377	0.9171
Erwinia rhapontici	0.9486	0.9466	0.009461	0.2114
Tatumella punctata	0.9468	0.9466	0.009466	0.02113
Pantoea wallisii	0.9539	0.9465	0.009399	0.7873
Erwinia gerundensis	0.9452	0.9467	0.009463	0.1585
Tatumella citrea	0.9269	0.9471	0.008963	2.254
Pantoea cypripedii	0.9505	0.9465	0.009447	0.4234
Pantoea eucalypti	0.9557	0.9464	0.009362	0.9934
Erwinia iniecta	0.9496	0.9466	0.009455	0.3173
Erwinia psidii	0.9433	0.9467	0.009452	0.3597
Erwinia mallotivora	0.9418	0.9467	0.009436	0.5193
Pantoea agglomerans	0.9546	0.9464	0.009385	0.8737
Pantoea eucrina	0.9519	0.9465	0.009431	0.5726
Tatumella saanichensis	0.9485	0.9466	0.009461	0.2008
Pantoea rodasii	0.9497	0.9466	0.009454	0.3279
Pantoea vagans	0.9552	0.9464	0.009373	0.9389
Erwinia teleogrylli	0.9160	0.9473	0.008202	3.816
Pantoea conspicua	0.9579	0.9464	0.009304	1.236
Tatumella morbirosei	0.9478	0.9466	0.009464	0.1268
Erwinia endophytica	0.9436	0.9467	0.009454	0.3279
Pantoea rwandensis	0.9524	0.9465	0.009424	0.6261
Pantoea theicola	0.9487	0.9466	0.00946	0.2220
Pantoea calida	0.9500	0.9465	0.009451	0.3703
Pantoea allii	0.9554	0.9464	0.009368	0.9607
Pantoea intestinalis	0.9371	0.9468	0.009351	1.037
Pantoea ananatis	0.9504	0.9465	0.009448	0.4128
Tatumella terrea	0.9433	0.9467	0.009452	0.3597
Erwinia tasmaniensis	0.9477	0.9466	0.009464	0.1162
Pantoea stewartii subsp. stewartii	0.9446	0.9467	0.00946	0.2220
Erwinia aphidicola	0.9409	0.9468	0.009424	0.6261
Pantoea deleyi	0.9415	0.9467	0.009433	0.5513
Erwinia typographi	0.9332	0.9469	0.009236	1.483
Erwinia oleae	0.9248	0.9471	0.008847	2.521
Phaseolibacter flectens	0.9400	0.9468	0.00941	0.7226
