Kandleria vitulina	0.7688	0.7901	0.02542	0.8379
Faecalibaculum rodentium	0.7743	0.7899	0.02561	0.6091
Solobacterium moorei	0.7883	0.7892	0.02583	0.03484
Allobaculum stercoricanis	0.7711	0.7900	0.02551	0.7409
Turicibacter sanguinis	0.7631	0.7904	0.02516	1.085
Holdemania massiliensis	0.8228	0.7875	0.02471	1.429
Erysipelothrix larvae	0.8215	0.7876	0.02480	1.367
Catenisphaera adipataccumulans	0.7916	0.7890	0.02582	0.1007
Dielma fastidiosa	0.8149	0.7879	0.02518	1.072
Longicatena caecimuris	0.7975	0.7887	0.02576	0.3416
Erysipelothrix tonsillarum	0.8141	0.7880	0.02522	1.035
Erysipelothrix rhusiopathiae	0.8025	0.7885	0.02565	0.5458
Catenibacterium mitsuokai	0.7673	0.7902	0.02536	0.9030
Bulleidia extructa	0.7797	0.7896	0.02574	0.3846
Coprobacillus cateniformis	0.7810	0.7895	0.02576	0.3300
Ileibacterium valens	0.7603	0.7905	0.02501	1.208
Eggerthia catenaformis	0.7247	0.7922	0.02144	3.148
Longibaculum muris	0.7772	0.7897	0.02569	0.4866
Breznakia blatticola	0.8298	0.7872	0.02418	1.762
Erysipelothrix inopinata	0.8235	0.7875	0.02466	1.460
Holdemania filiformis	0.7964	0.7888	0.02578	0.2948
Breznakia pachnodae	0.7908	0.7891	0.02582	0.06584
