Eubacterium ruminantium	0.7747	0.7702	0.02613	0.1722
Eubacterium coprostanoligenes	0.7314	0.7710	0.02554	1.551
Eubacterium sulci	0.7654	0.7704	0.02613	0.1914
Eubacterium angustum	0.7803	0.7701	0.02610	0.3908
Eubacterium limosum	0.7946	0.7698	0.02591	0.9572
Anaerofustis stercorihominis	0.7721	0.7702	0.02614	0.07269
Eubacterium rectale	0.7583	0.7705	0.02609	0.4676
Eubacterium dolichum	0.7297	0.7711	0.02549	1.624
Peptoclostridium acidaminophilum	0.7703	0.7703	0.02614	0E+1
Eubacterium hadrum	0.7806	0.7701	0.02610	0.4023
Eubacterium ventriosum	0.7603	0.7705	0.02610	0.3908
Eubacterium combesii	0.7673	0.7703	0.02614	0.1148
Eubacterium multiforme	0.7646	0.7704	0.02613	0.2220
Eubacterium brachy	0.7593	0.7705	0.02609	0.4293
Acetobacterium carbinolicum	0.8073	0.7695	0.02560	1.477
Aminicella lysinilytica	0.7592	0.7705	0.02609	0.4331
Acetobacterium malicum	0.8047	0.7696	0.02567	1.367
Eubacterium minutum	0.7603	0.7705	0.02610	0.3908
Eubacterium infirmum	0.7586	0.7705	0.02609	0.4561
Eubacterium saphenum	0.7670	0.7703	0.02614	0.1262
Eubacterium pyruvativorans	0.7595	0.7705	0.02610	0.4215
Eubacterium tenue	0.7650	0.7704	0.02613	0.2067
Eubacterium budayi	0.7633	0.7704	0.02612	0.2718
Eubacterium nodatum	0.7357	0.7710	0.02567	1.375
Eubacterium hallii	0.7600	0.7705	0.02610	0.4023
Eubacterium cellulosolvens	0.7562	0.7705	0.02606	0.5487
Acetobacterium paludosum	0.8142	0.7694	0.02538	1.765
Acetobacterium tundrae	0.8075	0.7695	0.02559	1.485
Eubacterium callanderi	0.8005	0.7697	0.02578	1.195
Eubacterium yurii subsp. yurii	0.7469	0.7707	0.02593	0.9179
Eubacterium yurii subsp. margaretiae	0.7387	0.7709	0.02575	1.250
Eubacterium eligens	0.7616	0.7704	0.02611	0.3370
Eubacterium oxidoreducens	0.7680	0.7703	0.02614	0.08799
Eubacterium siraeum	0.7500	0.7707	0.02598	0.7968
Acetobacterium bakii	0.8121	0.7694	0.02545	1.678
Alkalibaculum bacchi	0.7601	0.7705	0.02610	0.3985
Acetobacterium woodii	0.8122	0.7694	0.02545	1.682
Garciella nitratireducens	0.7716	0.7702	0.02614	0.05356
Eubacterium uniforme	0.7555	0.7706	0.02606	0.5794
Holdemanella biformis	0.7439	0.7708	0.02587	1.040
Eubacterium yurii subsp. schtitka	0.7164	0.7713	0.02498	2.198
Alkalibacter saccharofermentans	0.7998	0.7697	0.02580	1.167
Acetobacterium wieringae	0.8119	0.7694	0.02546	1.669
Eubacterium barkeri	0.8107	0.7695	0.02549	1.616
Faecalitalea cylindroides	0.7399	0.7709	0.02578	1.202
Eubacterium tortuosum	0.7316	0.7710	0.02555	1.542
Eubacterium nitritogenes	0.7652	0.7704	0.02613	0.1990
Acetobacterium fimetarium	0.8166	0.7693	0.02529	1.870
Irregularibacter muris	0.7963	0.7697	0.02587	1.028
Pseudoramibacter alactolyticus	0.8042	0.7696	0.02569	1.347
Eubacterium xylanophilum	0.7421	0.7708	0.02583	1.111
