Flammeovirga pacifica	0.7917	0.8298	0.02763	1.379
Perexilibacter aurantiacus	0.7752	0.8302	0.02684	2.049
Marivirga lumbricoides	0.8395	0.8284	0.02827	0.3926
Marivirga harenae	0.8424	0.8284	0.02823	0.4959
Flammeovirga kamogawensis	0.7877	0.8299	0.02747	1.536
Roseivirga seohaensis subsp. aquiponti	0.8679	0.8277	0.02754	1.460
Cesiribacter andamanensis	0.8333	0.8286	0.02832	0.1660
Fabibacter misakiensis	0.8495	0.8282	0.02811	0.7577
Nafulsella turpanensis	0.8165	0.8291	0.02825	0.4460
Fabibacter pacificus	0.8531	0.8281	0.02803	0.8919
Marivirga sericea	0.8420	0.8284	0.02824	0.4816
Reichenbachiella faecimaris	0.8324	0.8286	0.02832	0.1342
Flammeovirga yaeyamensis	0.7852	0.8299	0.02736	1.634
Fulvivirga lutimaris	0.8536	0.8280	0.02801	0.9140
Roseivirga maritima	0.8567	0.8280	0.02793	1.028
Marinoscillum luteum	0.8471	0.8282	0.02816	0.6712
Roseivirga marina	0.8480	0.8282	0.02814	0.7036
Roseivirga seohaensis subsp. seohaensis	0.8519	0.8281	0.02806	0.8482
Limibacter armeniacum	0.7775	0.8302	0.02697	1.954
Fabibacter halotolerans	0.8385	0.8285	0.02828	0.3536
Reichenbachiella agariperforans	0.8282	0.8288	0.02833	0.02118
Imperialibacter roseus	0.8153	0.8291	0.02824	0.4887
Flammeovirga aprica	0.7973	0.8296	0.02782	1.161
Marinoscillum pacificum	0.8365	0.8285	0.02830	0.2827
Flammeovirga arenaria	0.7781	0.8301	0.02700	1.926
Flexithrix dorotheae	0.8090	0.8293	0.02813	0.7216
Tunicatimonas pelagia	0.8145	0.8291	0.02823	0.5172
Fulvivirga imtechensis	0.8508	0.8281	0.02808	0.8084
Fabivirga thermotolerans	0.8569	0.8280	0.02792	1.035
Cesiribacter roseus	0.8235	0.8289	0.02831	0.1907
Rapidithrix thailandica	0.7974	0.8296	0.02783	1.157
Fulvivirga kasyanovii	0.8446	0.8283	0.02820	0.5780
Roseivirga echinicomitans	0.8621	0.8278	0.02776	1.236
Roseivirga spongicola	0.8495	0.8282	0.02811	0.7577
Marivirga atlantica	0.8595	0.8279	0.02785	1.135
Sediminitomix flava	0.7862	0.8299	0.02740	1.595
Marinoscillum furvescens	0.8642	0.8278	0.02769	1.315
