Chryseobacterium nakagawai	0.8021	0.8282	0.01944	1.343
Olleya aquimaris	0.8466	0.8281	0.01945	0.9512
Sediminibacter furfurosus	0.8265	0.8282	0.01947	0.08731
Tenacibaculum mesophilum	0.8272	0.8282	0.01947	0.05136
Dokdonia genika	0.8382	0.8281	0.01946	0.5190
Aquimarina addita	0.8424	0.8281	0.01946	0.7348
Vitellibacter aquimaris	0.8311	0.8282	0.01947	0.1489
Aureivirga marina	0.8212	0.8282	0.01946	0.3597
Aquimarina mytili	0.8347	0.8282	0.01946	0.3340
Riemerella columbina	0.7933	0.8282	0.01942	1.797
Mesoflavibacter aestuarii	0.8485	0.8281	0.01945	1.049
Subsaximicrobium wynnwilliamsii	0.8230	0.8282	0.01947	0.2671
Formosa agariphila	0.8493	0.8281	0.01945	1.090
Flavobacterium lacus	0.8436	0.8281	0.01946	0.7965
Chryseobacterium piscium	0.8028	0.8282	0.01944	1.307
Salegentibacter salegens	0.8315	0.8282	0.01947	0.1695
Chryseobacterium tructae	0.7967	0.8282	0.01943	1.621
Gelidibacter gilvus	0.8273	0.8282	0.01947	0.04622
Elizabethkingia meningoseptica	0.8078	0.8282	0.01945	1.049
Actibacter sediminis	0.8277	0.8282	0.01947	0.02568
Croceitalea eckloniae	0.8222	0.8282	0.01947	0.3082
Aurantivirga profunda	0.8373	0.8281	0.01946	0.4728
Siansivirga jejuensis	0.8462	0.8281	0.01946	0.9301
Lacinutrix venerupis	0.8512	0.8281	0.01945	1.188
Algitalea ulvae	0.8373	0.8281	0.01946	0.4728
Capnocytophaga leadbetteri	0.8062	0.8282	0.01945	1.131
Cellulophaga algicola	0.8301	0.8282	0.01947	0.09759
Psychroflexus salinarum	0.8317	0.8282	0.01947	0.1798
Chryseobacterium profundimaris	0.7979	0.8282	0.01943	1.559
Tamlana crocina	0.8398	0.8281	0.01946	0.6012
Aequorivita lipolytica	0.8267	0.8282	0.01947	0.07704
Flavobacterium collinsense	0.8462	0.8281	0.01946	0.9301
Algibacter psychrophilus	0.8527	0.8281	0.01945	1.265
Maribacter sedimenticola	0.8188	0.8282	0.01946	0.4830
Flavobacterium yonginense	0.8440	0.8281	0.01946	0.8171
Myroides odoratus	0.8137	0.8282	0.01946	0.7451
Winogradskyella litoriviva	0.8418	0.8281	0.01946	0.7040
Flavobacterium endophyticum	0.8375	0.8281	0.01946	0.4830
Elizabethkingia miricola	0.7939	0.8282	0.01943	1.765
Jejuia pallidilutea	0.8382	0.8281	0.01946	0.5190
Flavobacterium spartansii	0.8456	0.8281	0.01946	0.8993
Galbibacter marinus	0.8321	0.8282	0.01947	0.2003
Aureisphaera salina	0.8299	0.8282	0.01947	0.08731
Salegentibacter agarivorans	0.8253	0.8282	0.01947	0.1489
Tenacibaculum aiptasiae	0.8201	0.8282	0.01946	0.4162
Polaribacter porphyrae	0.8317	0.8282	0.01947	0.1798
Aequorivita vladivostokensis	0.8264	0.8282	0.01947	0.09245
Chryseobacterium arachidiradicis	0.7935	0.8282	0.01942	1.787
Empedobacter falsenii	0.8025	0.8282	0.01944	1.322
Winogradskyella damuponensis	0.8388	0.8281	0.01946	0.5498
Flavobacterium daemonense	0.8350	0.8282	0.01946	0.3494
Maribacter vaceletii	0.8315	0.8282	0.01947	0.1695
Winogradskyella pacifica	0.8380	0.8281	0.01946	0.5087
Flavobacterium cheonhonense	0.8463	0.8281	0.01945	0.9357
Croceibacter atlanticus	0.8252	0.8282	0.01947	0.1541
Maribacter antarcticus	0.8190	0.8282	0.01946	0.4728
Muricauda antarctica	0.8058	0.8282	0.01945	1.152
Flavobacterium cloacae	0.8305	0.8282	0.01947	0.1181
Chryseobacterium treverense	0.7905	0.8282	0.01942	1.941
Spongiimonas flava	0.7967	0.8282	0.01943	1.621
Chryseobacterium ginsengiterrae	0.7938	0.8282	0.01943	1.770
Flavobacterium ceti	0.8383	0.8281	0.01946	0.5242
Muricauda lutea	0.8121	0.8282	0.01946	0.8273
Chryseobacterium piperi	0.7935	0.8282	0.01942	1.787
Chryseobacterium caeni	0.8020	0.8282	0.01944	1.348
Jejudonia soesokkakensis	0.8433	0.8281	0.01946	0.7811
Chryseobacterium nepalense	0.7954	0.8282	0.01943	1.688
Flavobacterium algicola	0.8449	0.8281	0.01946	0.8633
Flavobacterium araucananum	0.8447	0.8281	0.01946	0.8530
Kordia algicida	0.8377	0.8281	0.01946	0.4933
Aquimarina penaei	0.8486	0.8281	0.01945	1.054
Flavobacterium hauense	0.8413	0.8281	0.01946	0.6783
Mariniflexile gromovii	0.8442	0.8281	0.01946	0.8273
Algoriella xinjiangensis	0.8007	0.8282	0.01944	1.415
Flavobacterium akiainvivens	0.8392	0.8281	0.01946	0.5704
Lutimonas halocynthiae	0.8255	0.8282	0.01947	0.1387
Flavobacterium johnsoniae	0.8412	0.8281	0.01946	0.6732
Flavobacterium psychrolimnae	0.8517	0.8281	0.01945	1.213
Chryseobacterium antarcticum	0.7920	0.8282	0.01942	1.864
Bizionia myxarmorum	0.8374	0.8281	0.01946	0.4779
Ornithobacterium rhinotracheale	0.7989	0.8282	0.01944	1.507
Capnocytophaga sputigena	0.8030	0.8282	0.01944	1.296
Flavobacterium maotaiense	0.8403	0.8281	0.01946	0.6269
Flavobacterium urumqiense	0.8461	0.8281	0.01946	0.9250
Salinimicrobium catena	0.8437	0.8281	0.01946	0.8016
Tenacibaculum dicentrarchi	0.8297	0.8282	0.01947	0.07704
Polaribacter huanghezhanensis	0.8335	0.8282	0.01947	0.2722
Leeuwenhoekiella marinoflava	0.8302	0.8282	0.01947	0.1027
Capnocytophaga ochracea	0.8067	0.8282	0.01945	1.105
Chryseobacterium bovis	0.7942	0.8282	0.01943	1.750
Lacinutrix algicola	0.8461	0.8281	0.01946	0.9250
Aquimarina latercula	0.8347	0.8282	0.01946	0.3340
Maritimimonas rapanae	0.8261	0.8282	0.01947	0.1079
Flavobacterium mizutaii	0.7457	0.8283	0.01923	4.295
Flavobacterium fluvii	0.8457	0.8281	0.01946	0.9044
Maribacter arcticus	0.8282	0.8282	0.01947	0E+1
Chryseobacterium gallinarum	0.7905	0.8282	0.01942	1.941
Empedobacter stercoris	0.7964	0.8282	0.01943	1.637
Zobellia uliginosa	0.8196	0.8282	0.01946	0.4419
Flavobacterium gelidilacus	0.8473	0.8281	0.01945	0.9871
Mesonia aquimarina	0.8363	0.8282	0.01946	0.4162
Algibacter amylolyticus	0.8475	0.8281	0.01945	0.9974
Flavobacterium suncheonense	0.8324	0.8282	0.01947	0.2157
Flavobacterium banpakuense	0.8366	0.8281	0.01946	0.4368
Mesonia phycicola	0.8227	0.8282	0.01947	0.2825
Winogradskyella ulvae	0.8394	0.8281	0.01946	0.5807
Kordia ulvae	0.8367	0.8281	0.01946	0.4419
Salinimicrobium marinum	0.8368	0.8281	0.01946	0.4471
Spongiiferula fulva	0.8356	0.8282	0.01946	0.3803
Aquimarina gracilis	0.8474	0.8281	0.01945	0.9923
Hyunsoonleella udonensis	0.8441	0.8281	0.01946	0.8222
Maribacter chungangensis	0.8095	0.8282	0.01945	0.9614
Flavobacterium seoulense	0.8420	0.8281	0.01946	0.7143
Flavobacterium xanthum	0.8399	0.8281	0.01946	0.6064
Polaribacter reichenbachii	0.8366	0.8281	0.01946	0.4368
Taeania maliponensis	0.8308	0.8282	0.01947	0.1335
Arcticiflavibacter luteus	0.8470	0.8281	0.01945	0.9717
Flavobacterium sasangense	0.8397	0.8281	0.01946	0.5961
Chryseobacterium palustre	0.7911	0.8282	0.01942	1.910
Flavobacterium nitrogenifigens	0.8371	0.8281	0.01946	0.4625
Winogradskyella undariae	0.8418	0.8281	0.01946	0.7040
Polaribacter haliotis	0.8360	0.8282	0.01946	0.4008
Chryseobacterium pallidum	0.8000	0.8282	0.01944	1.451
Flavobacterium suzhouense	0.8450	0.8281	0.01946	0.8684
Chryseobacterium luteum	0.8043	0.8282	0.01945	1.229
Chishuiella changwenlii	0.8015	0.8282	0.01944	1.373
Nonlabens antarcticus	0.8306	0.8282	0.01947	0.1233
