Francisella tularensis subsp. novicida	0.9635	0.9485	0.01260	1.190
Francisella noatunensis subsp. noatunensis	0.9593	0.9489	0.01301	0.7994
Allofrancisella frigidaquae	0.9345	0.9514	0.01237	1.366
Francisella tularensis subsp. tularensis	0.9611	0.9488	0.01285	0.9572
Allofrancisella inopinata	0.9312	0.9518	0.01186	1.737
Francisella halioticida	0.9472	0.9502	0.01335	0.2247
Francisella tularensis subsp. mediasiatica	0.9652	0.9484	0.01238	1.357
Francisella noatunensis subsp. orientalis	0.9466	0.9502	0.01334	0.2699
Francisella hispaniensis	0.9627	0.9486	0.01269	1.111
Francisella persica	0.9470	0.9502	0.01335	0.2397
Allofrancisella guangzhouensis	0.9304	0.9518	0.01172	1.826
