Halothermothrix orenii	0.8168	0.8929	0.0502	1.516
Halanaerobium praevalens	0.9361	0.8821	0.05253	1.028
Halanaerobium fermentans	0.9181	0.8837	0.05389	0.6383
Halanaerobium salsuginis	0.8994	0.8854	0.05465	0.2562
Halanaerobium lacusrosei	0.9135	0.8842	0.05414	0.5412
Halocella cellulosilytica	0.8306	0.8917	0.05188	1.178
Halanaerobium saccharolyticum subsp. saccharolyticum	0.9428	0.8815	0.05186	1.182
Halanaerobium sehlinense	0.9338	0.8823	0.05274	0.9765
Halanaerobium saccharolyticum subsp. senegalense	0.9195	0.8836	0.05381	0.6672
Halanaerobium kushneri	0.8939	0.8859	0.05475	0.1461
Halanaerobium acetethylicum	0.8652	0.8885	0.05438	0.4285
Halarsenatibacter silvermanii	0.7695	0.8972	0.04053	3.151
