Haloarcula japonica	0.8945	0.8819	0.02371	0.5314
Halosimplex carlsbadense	0.8598	0.8833	0.02337	1.006
Haloarcula vallismortis	0.8880	0.8822	0.02381	0.2436
Halomicroarcula limicola	0.8827	0.8824	0.02384	0.01258
Halosimplex litoreum	0.8681	0.8830	0.02365	0.6300
Halorientalis regularis	0.8782	0.8826	0.02382	0.1847
Halorhabdus utahensis	0.8752	0.8827	0.02379	0.3153
Halomicrobium katesii	0.8469	0.8839	0.02267	1.632
Halorientalis brevis	0.8742	0.8827	0.02378	0.3574
Halapricum salinum	0.8684	0.8830	0.02366	0.6171
Haloarcula argentinensis	0.8975	0.8818	0.02363	0.6644
Halomicrobium zhouii	0.8816	0.8824	0.02384	0.03356
Haloarcula quadrata	0.8914	0.8820	0.02377	0.3955
Halorhabdus rudnickae	0.8615	0.8833	0.02344	0.9300
Haloarcula amylolytica	0.8962	0.8818	0.02367	0.6084
Halosimplex rubrum	0.8582	0.8834	0.02330	1.082
Halorhabdus tiamatea	0.8677	0.8830	0.02364	0.6472
Haloarcula tradensis	0.9114	0.8812	0.02306	1.310
Halomicroarcula pellucida	0.8946	0.8819	0.02370	0.5359
Halosimplex pelagicum	0.8487	0.8838	0.02278	1.541
Halomicroarcula salina	0.9146	0.8810	0.02288	1.469
Halomicrobium mukohataei	0.8843	0.8823	0.02384	0.08389
Haloarcula hispanica	0.9182	0.8809	0.02264	1.648
Halorientalis persicus	0.8518	0.8837	0.02297	1.389
Haloarcula salaria	0.9459	0.8797	0.01983	3.338
