Halobacterium rubrum	0.8619	0.8563	0.01283	0.4365
Halovenus rubra	0.8497	0.8566	0.01281	0.5386
Halalkalicoccus jeotgali	0.8594	0.8564	0.01284	0.2336
Natronoarchaeum mannanilyticum	0.8377	0.8569	0.01253	1.532
Salinirubrum litoreum	0.8617	0.8563	0.01283	0.4209
Haloarchaeobius litoreus	0.8696	0.8561	0.01269	1.064
Halorussus amylolyticus	0.8550	0.8565	0.01285	0.1167
Halarchaeum rubridurum	0.8679	0.8562	0.01273	0.9191
Halarchaeum grantii	0.8648	0.8563	0.01279	0.6646
Natronoarchaeum rubrum	0.8371	0.8569	0.01251	1.583
Halanaeroarchaeum sulfurireducens	0.8562	0.8564	0.01285	0.01556
Natribaculum breve	0.8564	0.8564	0.01285	0E+1
Haloarchaeobius baliensis	0.8484	0.8566	0.01279	0.6411
Halorussus salinus	0.8564	0.8564	0.01285	0E+1
Halostella salina	0.8512	0.8566	0.01283	0.4209
Haladaptatus litoreus	0.8616	0.8563	0.01283	0.4131
Halomarina oriensis	0.8531	0.8565	0.01284	0.2648
Salarchaeum japonicum	0.8616	0.8563	0.01283	0.4131
Halovenus salina	0.8334	0.8570	0.01236	1.909
Halarchaeum nitratireducens	0.8664	0.8562	0.01276	0.7994
Haloarchaeobius iranensis	0.8660	0.8562	0.01277	0.7674
Halorussus ruber	0.8517	0.8566	0.01283	0.3819
Halobacterium jilantaiense	0.8561	0.8565	0.01285	0.03113
Halarchaeum acidiphilum	0.8610	0.8563	0.01283	0.3663
Halovarius luteus	0.8595	0.8564	0.01284	0.2414
Haladaptatus pallidirubidus	0.8695	0.8561	0.01270	1.055
Natribaculum longum	0.8517	0.8566	0.01283	0.3819
Haladaptatus paucihalophilus	0.8557	0.8565	0.01285	0.06226
Halobacterium noricense	0.8692	0.8562	0.01270	1.024
Halovenus aranensis	0.8273	0.8571	0.01206	2.471
Natronomonas pharaonis	0.8606	0.8563	0.01284	0.3349
Halalkalicoccus tibetensis	0.8648	0.8563	0.01279	0.6646
Haloarchaeobius amylolyticus	0.8542	0.8565	0.01285	0.1790
Halobacterium salinarum	0.8537	0.8565	0.01285	0.2179
Natronomonas moolapensis	0.8483	0.8566	0.01279	0.6489
Halosiccatus urmianus	0.8248	0.8572	0.01191	2.720
Natronoarchaeum philippinense	0.8389	0.8568	0.01257	1.424
Haloarchaeobius salinus	0.8687	0.8562	0.01272	0.9827
Natronomonas gomsonensis	0.8388	0.8568	0.01257	1.432
Haladaptatus cibarius	0.8590	0.8564	0.01285	0.2023
Halorubellus litoreus	0.8819	0.8559	0.01225	2.122
Halocalculus aciditolerans	0.8671	0.8562	0.01275	0.8549
Halarchaeum solikamskense	0.8805	0.8559	0.01232	1.997
Halarchaeum salinum	0.8434	0.8567	0.01270	1.047
Halorussus rarus	0.8780	0.8560	0.01242	1.771
