Sporohalobacter salinus	0.8310	0.8385	0.01587	0.4726
Halobacteroides halobius	0.8298	0.8386	0.01583	0.5559
Halobacteroides elegans	0.8216	0.8391	0.01540	1.136
Halanaerobacter jeridensis	0.8334	0.8383	0.01593	0.3076
Orenia chitinitropha	0.8393	0.8380	0.01597	0.08140
Acetohalobium arabaticum	0.8223	0.8390	0.01545	1.081
Orenia marismortui	0.8530	0.8371	0.01550	1.026
Halonatronum saccharophilum	0.8378	0.8381	0.01598	0.01877
Orenia sivashensis	0.8405	0.8379	0.01596	0.1629
Natroniella sulfidigena	0.8487	0.8374	0.01574	0.7179
Fuchsiella alkaliacetigena	0.8559	0.8369	0.01530	1.242
Halanaerobaculum tunisiense	0.8209	0.8391	0.01535	1.186
Natroniella acetigena	0.8258	0.8388	0.01566	0.8301
Selenihalanaerobacter shriftii	0.8431	0.8377	0.01592	0.3392
Fuchsiella ferrireducens	0.8373	0.8381	0.01597	0.05009
Halanaerobacter salinarius	0.8835	0.8352	0.01087	4.443
Orenia salinaria	0.8230	0.8390	0.01550	1.032
