Halorubrum litoreum	0.9348	0.9088	0.02714	0.9580
Halorubrum salinum	0.9271	0.9090	0.02730	0.6630
Halorubrum kocurii	0.9344	0.9088	0.02715	0.9429
Halorubrum chaoviator	0.9308	0.9089	0.02723	0.8043
Halorubrum lipolyticum	0.9345	0.9088	0.02714	0.9469
Halorubrum saccharovorum	0.9331	0.9088	0.02718	0.8940
Halorubrum tibetense	0.9212	0.9091	0.02739	0.4418
Halorubrum rubrum	0.9203	0.9091	0.02740	0.4088
Halorubrum vacuolatum	0.9067	0.9095	0.02745	0.1020
Halobaculum magnesiiphilum	0.8456	0.9111	0.02537	2.582
Halorubrum persicum	0.9262	0.9090	0.02731	0.6298
Halobaculum gomorrense	0.8322	0.9115	0.02434	3.258
Halorubrum distributum	0.9263	0.9090	0.02731	0.6335
Halorubrum alkaliphilum	0.9205	0.9091	0.02739	0.4162
Halorubrum trueperi	0.9286	0.9089	0.02727	0.7224
Halorubrum sodomense	0.9327	0.9088	0.02719	0.8790
Halorubrum laminariae	0.9274	0.9090	0.02729	0.6742
Halorubrum pallidum	0.9245	0.9090	0.02734	0.5669
Halorubrum coriense	0.9284	0.9089	0.02728	0.7148
Halorubrum aquaticum	0.9228	0.9091	0.02737	0.5005
Halorubrum orientale	0.9151	0.9093	0.02744	0.2114
Halorubrum ejinorense	0.9268	0.9090	0.02730	0.6520
Halorubrum cibi	0.9157	0.9093	0.02743	0.2333
Halorubrum tebenquichense	0.9228	0.9091	0.02737	0.5005
Halorubrum terrestre	0.9212	0.9091	0.02739	0.4418
Halorubrum aidingense	0.9251	0.9090	0.02733	0.5891
Halorubrum xinjiangense	0.9246	0.9090	0.02734	0.5706
Halorubrum rutilum	0.9121	0.9094	0.02745	0.09836
Halorubrum halophilum	0.9144	0.9093	0.02744	0.1859
Halorubrum californiense	0.9091	0.9094	0.02745	0.01093
Halorubrum gandharaense	0.8953	0.9098	0.02736	0.5300
Halorubrum yunnanense	0.9007	0.9097	0.02742	0.3282
Halobium palmae	0.8718	0.9104	0.02675	1.443
Halorubrum halodurans	0.8993	0.9097	0.02740	0.3796
Halorubrum ezzemoulense	0.8823	0.9101	0.02709	1.026
Halorubrum trapanicum	0.8946	0.9098	0.02735	0.5558
Halorubrum arcis	0.8832	0.9101	0.02711	0.9923
Halobaculum roseum	0.8385	0.9113	0.02486	2.928
Halorubrum lacusprofundi	0.8569	0.9108	0.02606	2.068
