Helicobacter himalayensis	0.8962	0.8847	0.04026	0.2856
Helicobacter heilmannii	0.8812	0.8851	0.0403	0.09677
Helicobacter ailurogastricus	0.8764	0.8852	0.04028	0.2185
Sulfurovum aggregans	0.7934	0.8871	0.0378	2.479
Helicobacter canicola	0.8545	0.8857	0.04003	0.7794
Helicobacter canis	0.9074	0.8845	0.04016	0.5702
Helicobacter marmotae	0.9039	0.8846	0.0402	0.4801
Helicobacter fennelliae	0.8606	0.8855	0.04013	0.6205
Helicobacter cynogastricus	0.8759	0.8852	0.04028	0.2309
Helicobacter baculiformis	0.8750	0.8852	0.04027	0.2533
Helicobacter brantae	0.9063	0.8845	0.04017	0.5427
Helicobacter salomonis	0.8718	0.8853	0.04025	0.3354
Sulfurimonas paralvinellae	0.8086	0.8867	0.03858	2.024
Helicobacter muridarum	0.9047	0.8845	0.04019	0.5026
Helicobacter felis	0.8753	0.8852	0.04027	0.2458
Helicobacter pylori	0.8864	0.8850	0.0403	0.03474
Sulfurovum riftiae	0.8052	0.8868	0.03842	2.124
Sulfurimonas gotlandica	0.8192	0.8865	0.03903	1.724
Helicobacter anseris	0.9118	0.8844	0.04009	0.6835
Helicobacter apri	0.9181	0.8842	0.03998	0.8479
Helicobacter suis	0.8646	0.8855	0.04018	0.5202
Helicobacter mustelae	0.9037	0.8846	0.0402	0.4751
Helicobacter cinaedi	0.9110	0.8844	0.0401	0.6633
Sulfurimonas autotrophica	0.8058	0.8868	0.03845	2.107
Helicobacter bizzozeronii	0.8689	0.8854	0.04023	0.4101
Helicobacter ganmani	0.9102	0.8844	0.04012	0.6431
Helicobacter macacae	0.8879	0.8849	0.0403	0.07444
Helicobacter rodentium	0.9099	0.8844	0.04012	0.6356
Helicobacter cetorum	0.8877	0.8849	0.0403	0.06948
Helicobacter equorum	0.9149	0.8843	0.04004	0.7642
Helicobacter cholecystus	0.9159	0.8843	0.04002	0.7896
Wolinella succinogenes	0.8802	0.8851	0.04029	0.1216
Helicobacter acinonychis	0.8746	0.8852	0.04027	0.2632
Sulfurovum lithotrophicum	0.8098	0.8867	0.03864	1.990
Sulfurimonas denitrificans	0.8013	0.8869	0.03823	2.239
Helicobacter bilis	0.9361	0.8838	0.03954	1.323
Helicobacter aurati	0.9331	0.8839	0.03963	1.241
Helicobacter hepaticus	0.9340	0.8839	0.0396	1.265
Helicobacter mesocricetorum	0.9233	0.8841	0.03987	0.9832
Helicobacter canadensis	0.9378	0.8838	0.03949	1.367
Helicobacter valdiviensis	0.9189	0.8842	0.03997	0.8682
Helicobacter pullorum	0.9300	0.8840	0.03971	1.158
Helicobacter typhlonius	0.9141	0.8843	0.04006	0.7439
Helicobacter pametensis	0.9181	0.8842	0.03998	0.8479
Helicobacter mastomyrinus	0.9007	0.8846	0.04023	0.4002
