Hyphomicrobium sulfonivorans	0.8678	0.8723	0.02813	0.1600
Devosia insulae	0.8921	0.8719	0.02803	0.7207
Rhodomicrobium udaipurense	0.8540	0.8725	0.02805	0.6595
Rhodoplanes oryzae	0.8597	0.8724	0.02809	0.4521
Maritalea porphyrae	0.8565	0.8725	0.02807	0.5700
Devosia soli	0.8893	0.8720	0.02806	0.6165
Methyloterrigena soli	0.8916	0.8719	0.02804	0.7026
Filomicrobium insigne	0.8663	0.8723	0.02813	0.2133
Prosthecomicrobium pneumaticum	0.8690	0.8723	0.02813	0.1173
Methylorhabdus multivorans	0.8479	0.8726	0.02798	0.8828
Rhodoplanes elegans	0.8679	0.8723	0.02813	0.1564
Pedomicrobium ferrugineum	0.8703	0.8723	0.02814	0.07107
Rhodoplanes serenus	0.8698	0.8723	0.02814	0.08884
Pedomicrobium australicum	0.8703	0.8723	0.02814	0.07107
Devosia riboflavina	0.8895	0.8720	0.02806	0.6237
Devosia confluentis	0.8825	0.8721	0.02811	0.3700
Devosia albogilva	0.8816	0.8721	0.02811	0.3380
Hyphomicrobium zavarzinii	0.8727	0.8722	0.02814	0.01777
Pelagibacterium luteolum	0.8748	0.8722	0.02814	0.09240
Devosia yakushimensis	0.8938	0.8719	0.02801	0.7819
Devosia mishustinii	0.8914	0.8719	0.02804	0.6954
Pedomicrobium manganicum	0.8657	0.8723	0.02813	0.2346
Hyphomicrobium nitrativorans	0.8718	0.8722	0.02814	0.01421
Angulomicrobium amanitiforme	0.8532	0.8725	0.02804	0.6883
Blastochloris gulmargensis	0.8620	0.8724	0.02811	0.3700
Devosia glacialis	0.8907	0.8720	0.02804	0.6669
Devosia pacifica	0.8850	0.8720	0.02809	0.4628
Devosia humi	0.8742	0.8722	0.02814	0.07107
Cucumibacter marinus	0.8654	0.8723	0.02812	0.2454
Devosia subaequoris	0.8827	0.8721	0.02811	0.3771
Rhodoplanes tepidamans	0.8639	0.8724	0.02812	0.3023
Hyphomicrobium facile subsp. facile	0.8679	0.8723	0.02813	0.1564
Rhodoplanes piscinae	0.8545	0.8725	0.02805	0.6417
Devosia psychrophila	0.8894	0.8720	0.02806	0.6201
Dichotomicrobium thermohalophilum	0.8550	0.8725	0.02806	0.6237
Filomicrobium fusiforme	0.8621	0.8724	0.02811	0.3664
Arsenicitalea aurantiaca	0.8856	0.8720	0.02809	0.4842
Maritalea myrionectae	0.8520	0.8725	0.02803	0.7314
Prosthecomicrobium hirschii	0.8511	0.8726	0.02802	0.7673
Devosia honganensis	0.8887	0.8720	0.02806	0.5952
Rhodomicrobium vannielii	0.8528	0.8725	0.02804	0.7026
Paradevosia shaoguanensis	0.8875	0.8720	0.02807	0.5522
Hyphomicrobium denitrificans	0.8645	0.8724	0.02812	0.2809
Devosia chinhatensis	0.8878	0.8720	0.02807	0.5629
Hyphomicrobium methylovorum	0.8581	0.8724	0.02808	0.5093
Angulomicrobium tetraedrale	0.8489	0.8726	0.02799	0.8467
Devosia neptuniae	0.8834	0.8721	0.02810	0.4021
Youhaiella tibetensis	0.8825	0.8721	0.02811	0.3700
Gemmiger formicilis	0.7074	0.8747	0.01950	8.579
Maritalea mobilis	0.8584	0.8724	0.02809	0.4984
Hyphomicrobium facile subsp. tolerans	0.8700	0.8723	0.02814	0.08173
Hyphomicrobium chloromethanicum	0.8362	0.8728	0.02779	1.317
Hyphomicrobium hollandicum	0.8763	0.8722	0.02813	0.1458
Hyphomicrobium vulgare	0.8712	0.8723	0.02814	0.03909
Rhodoplanes roseus	0.8707	0.8723	0.02814	0.05686
Devosia epidermidihirudinis	0.8996	0.8718	0.02793	0.9953
Blastochloris viridis	0.8827	0.8721	0.02811	0.3771
Blastochloris sulfoviridis	0.8772	0.8722	0.02813	0.1777
Pedomicrobium americanum	0.8631	0.8724	0.02811	0.3308
Devosia submarina	0.9140	0.8716	0.02766	1.533
Rhodoplanes pokkaliisoli	0.8436	0.8727	0.02792	1.042
Pelagibacterium halotolerans	0.8930	0.8719	0.02802	0.7530
Aquabacter spiritensis	0.8680	0.8723	0.02813	0.1529
Devosia elaeis	0.9188	0.8715	0.02755	1.717
Devosia enhydra	0.9113	0.8717	0.02772	1.429
Hyphomicrobium facile subsp. ureaphilum	0.8454	0.8726	0.02794	0.9735
Devosia geojensis	0.9269	0.8714	0.02732	2.031
Devosia limi	0.9330	0.8713	0.02712	2.275
