Glycocaulis alkaliphilus	0.8680	0.8760	0.01945	0.4113
Hyphomonas adhaerens	0.8838	0.8755	0.01945	0.4267
Hyphomonas rosenbergii	0.8772	0.8757	0.01950	0.07692
Hirschia litorea	0.8569	0.8763	0.01924	1.008
Hyphomonas hirschiana	0.8730	0.8758	0.01949	0.1437
Oceanicaulis stylophorae	0.8599	0.8762	0.01931	0.8441
Maricaulis virginensis	0.8743	0.8758	0.01950	0.07692
Henriciella aquimarina	0.8674	0.8760	0.01945	0.4422
Hyphobacterium vulgare	0.8637	0.8761	0.01939	0.6395
Maricaulis washingtonensis	0.8730	0.8758	0.01949	0.1437
Algimonas ampicilliniresistens	0.8579	0.8763	0.01926	0.9553
Marinicauda pacifica	0.8657	0.8760	0.01942	0.5304
Fretibacter rubidus	0.8689	0.8760	0.01946	0.3649
Henriciella marina	0.8738	0.8758	0.01950	0.1026
Ponticaulis koreensis	0.8709	0.8759	0.01948	0.2567
Hirschia baltica	0.8580	0.8763	0.01927	0.9497
Algimonas porphyrae	0.8593	0.8762	0.01930	0.8756
Hyphomonas jannaschiana	0.8937	0.8753	0.01926	0.9553
Robiginitomaculum antarcticum	0.8621	0.8761	0.01936	0.7231
Algimonas arctica	0.8590	0.8762	0.01929	0.8917
Henriciella litoralis	0.8769	0.8757	0.01950	0.06154
Glycocaulis abyssi	0.8784	0.8757	0.01949	0.1385
Hyphomonas oceanitis	0.8999	0.8751	0.01907	1.300
Hirschia maritima	0.8556	0.8763	0.01920	1.078
Hyphomonas beringensis	0.9032	0.8750	0.01894	1.489
Maricaulis parjimensis	0.8803	0.8756	0.01948	0.2413
Litorimonas taeanensis	0.8564	0.8763	0.01922	1.035
Hellea balneolensis	0.8567	0.8763	0.01923	1.019
Hyphomonas atlantica	0.9031	0.8750	0.01894	1.484
Hyphomonas neptunium	0.8900	0.8754	0.01935	0.7545
Woodsholea maritima	0.8790	0.8757	0.01949	0.1693
Hyphomonas johnsonii	0.9011	0.8751	0.01902	1.367
Glycocaulis albus	0.8854	0.8755	0.01943	0.5095
Maricaulis salignorans	0.8880	0.8754	0.01939	0.6498
Oceanicaulis alexandrii	0.8664	0.8760	0.01943	0.4941
Maricaulis maris	0.8619	0.8762	0.01936	0.7386
Hyphomonas polymorpha	0.9546	0.8736	0.01424	5.688
