Janibacter indicus	0.9285	0.9222	0.01223	0.5151
Phycicoccus jejuensis	0.9236	0.9222	0.01225	0.1143
Terrabacter terrae	0.9335	0.9221	0.01218	0.9360
Phycicoccus ginsenosidimutans	0.9249	0.9222	0.01225	0.2204
Intrasporangium calvum	0.9279	0.9222	0.01224	0.4657
Serinicoccus chungangensis	0.9005	0.9226	0.01197	1.846
Knoellia flava	0.9265	0.9222	0.01224	0.3513
Phycicoccus bigeumensis	0.9081	0.9224	0.01214	1.178
Terrabacter aeriphilus	0.9267	0.9222	0.01224	0.3676
Oryzihumus terrae	0.9224	0.9222	0.01226	0.01631
Intrasporangium chromatireducens	0.9207	0.9223	0.01225	0.1306
Knoellia aerolata	0.9221	0.9222	0.01226	0.008157
Ornithinicoccus hortensis	0.9213	0.9223	0.01225	0.08163
Tetrasphaera vanveenii	0.9180	0.9223	0.01224	0.3513
Knoellia sinensis	0.9314	0.9221	0.01221	0.7617
Tetrasphaera japonica	0.9184	0.9223	0.01225	0.3184
Phycicoccus aerophilus	0.9215	0.9223	0.01226	0.06525
Aquipuribacter hungaricus	0.8953	0.9226	0.01182	2.310
Arsenicicoccus bolidensis	0.9153	0.9223	0.01223	0.5724
Janibacter anophelis	0.9371	0.9220	0.01212	1.246
Monashia flava	0.9349	0.9221	0.01216	1.053
Ornithinimicrobium kibberense	0.9114	0.9224	0.01219	0.9024
Terrabacter terrigena	0.9355	0.9221	0.01215	1.103
Tetrasphaera remsis	0.9299	0.9221	0.01222	0.6383
Tetrasphaera elongata	0.9212	0.9223	0.01225	0.08980
Knoellia subterranea	0.9295	0.9221	0.01222	0.6056
Phycicoccus soli	0.9210	0.9223	0.01225	0.1061
Arsenicicoccus piscis	0.9145	0.9224	0.01222	0.6465
Tetrasphaera veronensis	0.9170	0.9223	0.01224	0.4330
Aquipuribacter nitratireducens	0.8990	0.9226	0.01193	1.978
Oryzihumus leptocrescens	0.9200	0.9223	0.01225	0.1878
Ornithinibacter aureus	0.9180	0.9223	0.01224	0.3513
Knoellia locipacati	0.9329	0.9221	0.01219	0.8860
Arsenicicoccus dermatophilus	0.9047	0.9225	0.01207	1.475
Ornithinimicrobium tianjinense	0.8996	0.9226	0.01195	1.925
Tetrasphaera jenkinsii	0.9149	0.9223	0.01222	0.6056
Ornithinimicrobium murale	0.9196	0.9223	0.01225	0.2204
Phycicoccus endophyticus	0.9190	0.9223	0.01225	0.2694
Janibacter corallicola	0.9216	0.9223	0.01226	0.05710
Phycicoccus cremeus	0.9261	0.9222	0.01225	0.3184
Terrabacter aerolatus	0.9388	0.9220	0.01209	1.390
Lapillicoccus jejuensis	0.9317	0.9221	0.01220	0.7869
Fodinibacter luteus	0.9211	0.9223	0.01225	0.09796
Phycicoccus ginsengisoli	0.9216	0.9223	0.01226	0.05710
Ornithinimicrobium humiphilum	0.9075	0.9225	0.01213	1.237
Janibacter melonis	0.9374	0.9220	0.01212	1.271
Terrabacter lapilli	0.9370	0.9220	0.01213	1.237
Serinicoccus profundi	0.9009	0.9225	0.01198	1.803
Oryzobacter terrae	0.9290	0.9221	0.01223	0.5642
Terracoccus luteus	0.9328	0.9221	0.01219	0.8778
Terrabacter ginsenosidimutans	0.9301	0.9221	0.01222	0.6547
Intrasporangium oryzae	0.9282	0.9222	0.01223	0.4906
Kribbia dieselivorans	0.9237	0.9222	0.01225	0.1224
Intrasporangium mesophilum	0.9358	0.9221	0.01215	1.128
Ornithinicoccus halotolerans	0.9173	0.9223	0.01224	0.4085
Terrabacter carboxydivorans	0.9329	0.9221	0.01219	0.8860
Marihabitans asiaticum	0.9196	0.9223	0.01225	0.2204
Terrabacter koreensis	0.9288	0.9222	0.01223	0.5397
Tetrasphaera duodecadis	0.9240	0.9222	0.01225	0.1469
Janibacter cremeus	0.9371	0.9220	0.01212	1.246
Ornithinimicrobium pekingense	0.9072	0.9225	0.01212	1.262
Serinicoccus marinus	0.8871	0.9227	0.01150	3.096
Terrabacter tumescens	0.9378	0.9220	0.01211	1.305
Phycicoccus dokdonensis	0.9338	0.9221	0.01218	0.9606
Phycicoccus badiiscoriae	0.9237	0.9222	0.01225	0.1224
Janibacter terrae	0.9450	0.9219	0.01195	1.933
Tetrasphaera australiensis	0.9129	0.9224	0.01220	0.7787
Janibacter hoylei	0.9441	0.9219	0.01197	1.855
Janibacter limosus	0.9315	0.9221	0.0122	0.7705
Humibacillus xanthopallidus	0.9132	0.9224	0.01221	0.7535
Ornithinimicrobium algicola	0.8937	0.9227	0.01176	2.466
