Kangiella geojedonensis	0.9175	0.8787	0.03458	1.122
Kangiella taiwanensis	0.9139	0.8790	0.03492	0.9994
Kangiella profundi	0.9040	0.8799	0.03567	0.6756
Kangiella koreensis	0.8964	0.8806	0.03606	0.4382
Pleionea mediterranea	0.8393	0.8858	0.03377	1.377
Kangiella japonica	0.9002	0.8803	0.03589	0.5545
Kangiella marina	0.8897	0.8812	0.03626	0.2344
Kangiella spongicola	0.8705	0.8830	0.03617	0.3456
Marinicella litoralis	0.8434	0.8854	0.03426	1.226
Marinicella pacifica	0.8134	0.8882	0.02924	2.558
Aliikangiella marina	0.8618	0.8838	0.03579	0.6147
Kangiella sediminilitoris	0.9331	0.8773	0.03258	1.713
