Thalassiella azotivora	0.9201	0.9202	0.01218	0.008210
Pseudokineococcus lusitanus	0.8962	0.9213	0.01093	2.296
Kineosporia succinea	0.9232	0.9200	0.01216	0.2632
Pseudokineococcus marinus	0.9014	0.9211	0.01143	1.724
Kineococcus rhizosphaerae	0.9233	0.9200	0.01216	0.2714
Kineosporia babensis	0.9251	0.9199	0.01213	0.4287
Angustibacter luteus	0.9141	0.9205	0.01210	0.5289
Kineococcus gynurae	0.9248	0.9200	0.01213	0.3957
Kineococcus endophytica	0.9292	0.9197	0.01201	0.7910
Quadrisphaera granulorum	0.9044	0.9209	0.01165	1.416
Kineococcus gypseus	0.9212	0.9201	0.01217	0.09039
Kineosporia rhamnosa	0.9308	0.9197	0.01194	0.9296
Kineococcus aurantiacus	0.9227	0.9201	0.01216	0.2138
Kineococcus radiotolerans	0.9155	0.9204	0.01213	0.4040
Kineococcus xinjiangensis	0.9320	0.9196	0.01189	1.043
Kineococcus glutinatus	0.9182	0.9203	0.01217	0.1726
Kineosporia mikuniensis	0.9409	0.9192	0.01126	1.927
Kineosporia aurantiaca	0.9347	0.9195	0.01174	1.295
Kineosporia rhizophila	0.9220	0.9201	0.01217	0.1561
Kineococcus mangrovi	0.9001	0.9211	0.01132	1.855
Angustibacter peucedani	0.9364	0.9194	0.01162	1.463
Kineosporia mesophila	0.9076	0.9208	0.01185	1.114
