Anaerocolumna cellulosilytica	0.8653	0.8500	0.01885	0.8117
Lachnoanaerobaculum orale	0.8394	0.8504	0.01890	0.5820
Butyrivibrio hungatei	0.8271	0.8506	0.01872	1.255
Anaerocolumna xylanovorans	0.8578	0.8501	0.01892	0.4070
Sporobacterium olearium	0.8466	0.8503	0.01894	0.1954
Mobilisporobacter senegalensis	0.8462	0.8503	0.01894	0.2165
Kineothrix alysoides	0.8624	0.8501	0.01888	0.6515
Cellulosilyticum ruminicola	0.8063	0.8509	0.01812	2.461
Anaerotaenia torta	0.8628	0.8501	0.01888	0.6727
Anaerobium acetethylicum	0.8608	0.8501	0.01890	0.5661
Agathobacter ruminis	0.8610	0.8501	0.01890	0.5767
Sellimonas intestinalis	0.8618	0.8501	0.01889	0.6194
Butyrivibrio proteoclasticus	0.8272	0.8506	0.01872	1.25
Roseburia faecis	0.8727	0.8499	0.01873	1.217
Faecalicatena orotica	0.8743	0.8499	0.01870	1.305
Anaerostipes hadrus	0.8592	0.8501	0.01891	0.4812
Roseburia hominis	0.8727	0.8499	0.01873	1.217
Mobilitalea sibirica	0.8545	0.8502	0.01894	0.2270
Hespellia stercorisuis	0.8626	0.8501	0.01888	0.6621
Anaerostipes caccae	0.8498	0.8503	0.01895	0.02639
Robinsoniella peoriensis	0.8698	0.8499	0.01879	1.059
Marvinbryantia formatexigens	0.8417	0.8504	0.01892	0.4598
Anaerocolumna jejuensis	0.8575	0.8501	0.01892	0.3911
Butyrivibrio fibrisolvens	0.8270	0.8506	0.01872	1.261
Acetatifactor muris	0.8196	0.8507	0.01855	1.677
Cuneatibacter caecimuris	0.8549	0.8502	0.01894	0.2482
Lachnospira multipara	0.8594	0.8501	0.01891	0.4918
Oribacterium asaccharolyticum	0.8459	0.8503	0.01894	0.2323
Faecalimonas umbilicata	0.8746	0.8499	0.01870	1.321
Anaerostipes butyraticus	0.8438	0.8504	0.01893	0.3487
Faecalicatena contorta	0.8731	0.8499	0.01873	1.239
Dorea formicigenerans	0.8466	0.8503	0.01894	0.1954
Acetitomaculum ruminis	0.8151	0.8508	0.01842	1.938
Anaerostipes rhamnosivorans	0.8488	0.8503	0.01895	0.07916
Pseudobutyrivibrio ruminis	0.8541	0.8502	0.01894	0.2059
Syntrophococcus sucromutans	0.8441	0.8503	0.01893	0.3275
Johnsonella ignava	0.7978	0.8511	0.01776	3.001
Pseudobutyrivibrio xylanivorans	0.8413	0.8504	0.01891	0.4812
Roseburia cecicola	0.8477	0.8503	0.01894	0.1373
Lachnotalea glycerini	0.8686	0.8500	0.01880	0.9894
Herbinix hemicellulosilytica	0.8534	0.8502	0.01894	0.1690
Falcatimonas natans	0.8689	0.8500	0.01880	1.005
Oribacterium parvum	0.8461	0.8503	0.01894	0.2218
Coprococcus eutactus	0.8548	0.8502	0.01894	0.2429
Coprococcus comes	0.8650	0.8500	0.01886	0.7953
Coprococcus catus	0.8419	0.8504	0.01892	0.4493
Shuttleworthia satelles	0.8377	0.8504	0.01888	0.6727
Cellulosilyticum lentocellum	0.8011	0.8510	0.01791	2.786
Herbinix luporum	0.8587	0.8501	0.01892	0.4545
Moryella indoligenes	0.8454	0.8503	0.01894	0.2587
Stomatobaculum longum	0.8409	0.8504	0.01891	0.5024
Lachnobacterium bovis	0.8554	0.8502	0.01894	0.2746
Murimonas intestini	0.8555	0.8502	0.01893	0.2800
Catonella morbi	0.8137	0.8508	0.01838	2.018
Faecalicatena fissicatena	0.8772	0.8498	0.01864	1.470
Anaerocolumna aminovalerica	0.8430	0.8504	0.01892	0.3911
Oribacterium sinus	0.8449	0.8503	0.01893	0.2853
Hespellia porcina	0.8725	0.8499	0.01874	1.206
Lachnoanaerobaculum saburreum	0.8549	0.8502	0.01894	0.2482
Dorea longicatena	0.8743	0.8499	0.01870	1.305
Butyrivibrio crossotus	0.8529	0.8502	0.01894	0.1426
Abyssivirga alkaniphila	0.8290	0.8506	0.01876	1.151
Lachnoanaerobaculum umeaense	0.8276	0.8506	0.01873	1.228
Roseburia intestinalis	0.8887	0.8497	0.01832	2.129
Roseburia inulinivorans	0.8609	0.8501	0.01890	0.5714
