Lactobacillus saerimneri	0.8631	0.8607	0.02023	0.1186
Lactobacillus acidifarinae	0.8803	0.8606	0.02018	0.9762
Lactobacillus plantarum subsp. argentoratensis	0.8730	0.8607	0.02021	0.6086
Lactobacillus sakei subsp. carnosus	0.8697	0.8607	0.02022	0.4451
Lactobacillus vespulae	0.8589	0.8607	0.02023	0.08898
Lactobacillus sicerae	0.8692	0.8607	0.02022	0.4204
Lactobacillus intestinalis	0.8449	0.8608	0.02020	0.7871
Lactobacillus malefermentans	0.8773	0.8606	0.02020	0.8267
Lactobacillus xiangfangensis	0.8752	0.8606	0.02020	0.7228
Lactobacillus gastricus	0.8639	0.8607	0.02023	0.1582
Lactobacillus delbrueckii subsp. bulgaricus	0.8432	0.8608	0.02019	0.8717
Lactobacillus florum	0.8471	0.8608	0.02021	0.6779
Lactobacillus apis	0.8362	0.8608	0.02016	1.220
Lactobacillus jensenii	0.8501	0.8608	0.02022	0.5292
Lactobacillus melliventris	0.8273	0.8609	0.02009	1.672
Lactobacillus delbrueckii subsp. sunkii	0.8422	0.8608	0.02019	0.9212
Lactobacillus parabrevis	0.8796	0.8606	0.02019	0.9411
Lactobacillus oris	0.8469	0.8608	0.02021	0.6878
Lactobacillus murinus	0.8519	0.8608	0.02022	0.4402
Lactobacillus collinoides	0.8755	0.8606	0.02020	0.7376
Pediococcus ethanolidurans	0.8516	0.8608	0.02022	0.4550
Lactobacillus saniviri	0.8808	0.8606	0.02018	1.001
Lactobacillus similis	0.8749	0.8606	0.02021	0.7076
Lactobacillus silagei	0.8745	0.8607	0.02021	0.6828
Lactobacillus delbrueckii subsp. lactis	0.8385	0.8608	0.02017	1.106
Lactobacillus pobuzihii	0.8465	0.8608	0.02021	0.7076
Lactobacillus composti	0.8679	0.8607	0.02022	0.3561
Lactobacillus koreensis	0.8759	0.8606	0.02020	0.7574
Lactobacillus plantarum subsp. plantarum	0.8756	0.8606	0.02020	0.7426
Lactobacillus kefiri	0.8744	0.8607	0.02021	0.6779
Pediococcus acidilactici	0.8796	0.8606	0.02019	0.9411
Pediococcus inopinatus	0.8777	0.8606	0.02019	0.8470
Lactobacillus paracasei subsp. tolerans	0.8727	0.8607	0.02021	0.5938
Lactobacillus nasuensis	0.8726	0.8607	0.02021	0.5888
Pediococcus damnosus	0.8781	0.8606	0.02019	0.8668
Pediococcus argentinicus	0.8739	0.8607	0.02021	0.6531
Lactobacillus crispatus	0.8438	0.8608	0.0202	0.8416
Lactobacillus rodentium	0.8495	0.8608	0.02021	0.5591
Lactobacillus kimbladii	0.8266	0.8609	0.02009	1.707
Lactobacillus coleohominis	0.8544	0.8607	0.02023	0.3114
Lactobacillus farraginis	0.8765	0.8606	0.02020	0.7871
Lactobacillus delbrueckii subsp. delbrueckii	0.8377	0.8608	0.02017	1.145
Lactobacillus pontis	0.8612	0.8607	0.02023	0.02472
Lactobacillus senioris	0.8819	0.8606	0.02018	1.056
Lactobacillus apinorum	0.8474	0.8608	0.02021	0.6630
Lactobacillus perolens	0.8608	0.8607	0.02023	0.004943
Lactobacillus senmaizukei	0.8750	0.8606	0.02021	0.7125
Lactobacillus backii	0.8706	0.8607	0.02022	0.4896
Lactobacillus kalixensis	0.8378	0.8608	0.02017	1.140
Lactobacillus insicii	0.8753	0.8606	0.02020	0.7277
Lactobacillus mellis	0.8588	0.8607	0.02023	0.09392
Lactobacillus mellifer	0.8473	0.8608	0.02021	0.6680
Lactobacillus curieae	0.8782	0.8606	0.02019	0.8717
Lactobacillus songhuajiangensis	0.8646	0.8607	0.02023	0.1928
Lactobacillus aquaticus	0.8824	0.8606	0.02017	1.081
Lactobacillus kullabergensis	0.8231	0.8609	0.02006	1.884
Lactobacillus pantheris	0.8667	0.8607	0.02023	0.2966
Lactobacillus graminis	0.8792	0.8606	0.02019	0.9212
Lactobacillus panis	0.8494	0.8608	0.02021	0.5641
Lactobacillus paracollinoides	0.8735	0.8607	0.02021	0.6333
Lactobacillus ultunensis	0.8416	0.8608	0.02019	0.9510
Lactobacillus capillatus	0.8792	0.8606	0.02019	0.9212
Lactobacillus heilongjiangensis	0.8623	0.8607	0.02023	0.07909
Lactobacillus mucosae	0.8613	0.8607	0.02023	0.02966
Lactobacillus parakefiri	0.8724	0.8607	0.02021	0.5789
Lactobacillus sunkii	0.8842	0.8606	0.02016	1.171
Lactobacillus salivarius	0.8619	0.8607	0.02023	0.05932
Lactobacillus iwatensis	0.8691	0.8607	0.02022	0.4154
Lactobacillus formosensis	0.8608	0.8607	0.02023	0.004943
Lactobacillus modestisalitolerans	0.8731	0.8607	0.02021	0.6136
Lactobacillus antri	0.8400	0.8608	0.02018	1.031
Lactobacillus amylophilus	0.8424	0.8608	0.02019	0.9113
Lactobacillus helsingborgensis	0.8271	0.8609	0.02009	1.682
Lactobacillus zeae	0.8753	0.8606	0.02020	0.7277
Lactobacillus suebicus	0.8818	0.8606	0.02018	1.051
Lactobacillus kefiranofaciens subsp. kefirgranum	0.8342	0.8608	0.02014	1.321
Lactobacillus paucivorans	0.8729	0.8607	0.02021	0.6037
Lactobacillus ingluviei	0.8486	0.8608	0.02021	0.6037
Lactobacillus vaginalis	0.8503	0.8608	0.02022	0.5193
Lactobacillus versmoldensis	0.8746	0.8606	0.02021	0.6927
Lactobacillus acidipiscis	0.8436	0.8608	0.02019	0.8519
Lactobacillus parafarraginis	0.8820	0.8606	0.02017	1.061
Lactobacillus ozensis	0.8642	0.8607	0.02023	0.1730
Lactobacillus equi	0.8572	0.8607	0.02023	0.1730
Lactobacillus acetotolerans	0.8339	0.8608	0.02014	1.336
Lactobacillus brevis	0.8690	0.8607	0.02022	0.4105
Lactobacillus colini	0.8574	0.8607	0.02023	0.1631
Lactobacillus diolivorans	0.8723	0.8607	0.02021	0.5740
Lactobacillus farciminis	0.8486	0.8608	0.02021	0.6037
Lactobacillus mali	0.8685	0.8607	0.02022	0.3858
Lactobacillus amylovorus	0.8368	0.8608	0.02016	1.190
Lactobacillus vini	0.8682	0.8607	0.02022	0.3709
Lactobacillus taiwanensis	0.8591	0.8607	0.02023	0.07909
Lactobacillus crustorum	0.8607	0.8607	0.02023	0E+1
Lactobacillus uvarum	0.8782	0.8606	0.02019	0.8717
Lactobacillus paracasei subsp. paracasei	0.8759	0.8606	0.02020	0.7574
Lactobacillus paraplantarum	0.8776	0.8606	0.02020	0.8416
Lactobacillus reuteri	0.8396	0.8608	0.02018	1.051
Pediococcus cellicola	0.8771	0.8606	0.02020	0.8168
Lactobacillus fabifermentans	0.8766	0.8606	0.02020	0.7921
Lactobacillus johnsonii	0.8519	0.8608	0.02022	0.4402
Lactobacillus pasteurii	0.8317	0.8609	0.02013	1.451
Lactobacillus manihotivorans	0.8763	0.8606	0.02020	0.7772
Lactobacillus amylotrophicus	0.8548	0.8607	0.02023	0.2916
Lactobacillus yonginensis	0.8691	0.8607	0.02022	0.4154
