Streptobacillus felis	0.8655	0.8524	0.01858	0.7051
Streptobacillus hongkongensis	0.8647	0.8524	0.01861	0.6609
Leptotrichia shahii	0.8580	0.8529	0.01882	0.2710
Leptotrichia hofstadii	0.8520	0.8533	0.01886	0.06893
Streptobacillus notomytis	0.8678	0.8522	0.01846	0.8451
Leptotrichia wadei	0.8437	0.8538	0.01870	0.5401
Sebaldella termitidis	0.8377	0.8542	0.01841	0.8963
Streptobacillus moniliformis	0.8639	0.8525	0.01865	0.6113
Leptotrichia buccalis	0.8508	0.8533	0.01886	0.1326
Hypnocyclicus thermotrophus	0.8159	0.8557	0.01603	2.483
Leptotrichia hongkongensis	0.8399	0.8541	0.01853	0.7663
Sneathia sanguinegens	0.8646	0.8524	0.01862	0.6552
Caviibacter abscessus	0.8639	0.8525	0.01865	0.6113
Leptotrichia trevisanii	0.8198	0.8554	0.01663	2.141
Leptotrichia goodfellowii	0.8516	0.8533	0.01886	0.09014
Streptobacillus ratti	0.8911	0.8507	0.01593	2.536
