Leuconostoc rapi	0.8883	0.8642	0.02530	0.9526
Weissella fabalis	0.8596	0.8648	0.02554	0.2036
Weissella jogaejeotgali	0.8709	0.8646	0.02554	0.2467
Weissella viridescens	0.8673	0.8647	0.02555	0.1018
Weissella confusa	0.8728	0.8645	0.02552	0.3252
Oenococcus alcoholitolerans	0.8028	0.8661	0.02375	2.665
Weissella cibaria	0.8784	0.8644	0.02547	0.5497
Fructobacillus pseudoficulneus	0.8714	0.8646	0.02553	0.2664
Leuconostoc gelidum subsp. aenigmaticum	0.8970	0.8640	0.02507	1.316
Leuconostoc mesenteroides subsp. dextranicum	0.9012	0.8639	0.02494	1.496
Weissella kandleri	0.8555	0.8649	0.02551	0.3685
Weissella koreensis	0.8621	0.8648	0.02555	0.1057
Leuconostoc carnosum	0.8936	0.8641	0.02517	1.172
Leuconostoc miyukkimchii	0.8989	0.8639	0.02502	1.399
Weissella diestrammenae	0.8583	0.8649	0.02553	0.2585
Leuconostoc inhae	0.8880	0.8642	0.02531	0.9403
Leuconostoc gelidum subsp. gelidum	0.8888	0.8642	0.02529	0.9727
Leuconostoc mesenteroides subsp. mesenteroides	0.8926	0.8641	0.02520	1.131
Weissella minor	0.8621	0.8648	0.02555	0.1057
Weissella soli	0.8748	0.8645	0.02551	0.4038
Leuconostoc mesenteroides subsp. cremoris	0.8929	0.8641	0.02519	1.143
Weissella oryzae	0.8699	0.8646	0.02554	0.2075
Leuconostoc fallax	0.8708	0.8646	0.02554	0.2428
Leuconostoc holzapfelii	0.8894	0.8642	0.02527	0.9972
Leuconostoc lactis	0.8812	0.8643	0.02543	0.6646
Leuconostoc pseudomesenteroides	0.8827	0.8643	0.02541	0.7241
Leuconostoc palmae	0.8709	0.8646	0.02554	0.2467
Leuconostoc mesenteroides subsp. suionicum	0.8681	0.8646	0.02555	0.1370
Weissella fabaria	0.8601	0.8648	0.02554	0.1840
Fructobacillus durionis	0.8551	0.8649	0.02551	0.3842
Weissella uvarum	0.8667	0.8647	0.02555	0.07828
Weissella halotolerans	0.8460	0.8651	0.02539	0.7523
Fructobacillus tropaeoli	0.8583	0.8649	0.02553	0.2585
Weissella paramesenteroides	0.8619	0.8648	0.02555	0.1135
Weissella beninensis	0.8396	0.8653	0.02526	1.017
Fructobacillus fructosus	0.8457	0.8652	0.02539	0.7680
Weissella ceti	0.8358	0.8654	0.02517	1.176
Weissella ghanensis	0.8376	0.8653	0.02522	1.098
Weissella hellenica	0.8396	0.8653	0.02526	1.017
Oenococcus kitaharae	0.8153	0.8658	0.02442	2.068
Leuconostoc kimchii	0.8954	0.8640	0.02512	1.25
Leuconostoc citreum	0.8729	0.8645	0.02552	0.3292
Oenococcus oeni	0.7821	0.8666	0.02223	3.801
Fructobacillus ficulneus	0.8620	0.8648	0.02555	0.1096
Weissella thailandensis	0.8280	0.8656	0.02493	1.508
