Brochothrix thermosphacta	0.8925	0.9356	0.01973	2.184
Listeria rocourtiae	0.9427	0.9320	0.02248	0.4760
Listeria marthii	0.9555	0.9311	0.02175	1.122
Listeria welshimeri	0.9558	0.9311	0.02173	1.137
Listeria weihenstephanensis	0.9390	0.9323	0.02258	0.2967
Listeria ivanovii subsp. ivanovii	0.9463	0.9317	0.02233	0.6538
Brochothrix campestris	0.8768	0.9367	0.01654	3.622
Listeria monocytogenes	0.9274	0.9331	0.02260	0.2522
Listeria innocua	0.9510	0.9314	0.02207	0.8881
Listeria fleischmannii	0.9269	0.9331	0.02259	0.2745
Listeria newyorkensis	0.9397	0.9322	0.02256	0.3324
Listeria grayi	0.9369	0.9324	0.02262	0.1989
Listeria seeligeri	0.9532	0.9313	0.02193	0.9986
Listeria booriae	0.9256	0.9332	0.02256	0.3369
Listeria ivanovii subsp. londoniensis	0.9214	0.9335	0.02243	0.5395
