Methanobrevibacter arboriphilus	0.8900	0.8795	0.01530	0.6863
Methanobacterium beijingense	0.8907	0.8795	0.01529	0.7325
Methanobacterium oryzae	0.8971	0.8794	0.01515	1.168
Methanothermobacter marburgensis	0.8898	0.8796	0.01531	0.6662
Methanobrevibacter smithii	0.8765	0.8799	0.01538	0.2211
Methanobacterium aarhusense	0.8900	0.8795	0.01530	0.6863
Methanothermobacter crinale	0.8664	0.8801	0.01525	0.8984
Methanobacterium petrolearium	0.8948	0.8794	0.01521	1.012
Methanobacterium bryantii	0.9060	0.8792	0.01483	1.807
Methanothermobacter defluvii	0.8814	0.8798	0.01539	0.1040
Methanothermobacter thermophilus	0.8746	0.8799	0.01537	0.3448
Methanobacterium kanagiense	0.8883	0.8796	0.01533	0.5675
Methanobacterium congolense	0.8923	0.8795	0.01526	0.8388
Methanobacterium formicicum	0.8875	0.8796	0.01534	0.5150
Methanobrevibacter gottschalkii	0.8556	0.8804	0.01492	1.662
Methanobacterium flexile	0.9001	0.8793	0.01506	1.381
Methanobrevibacter millerae	0.8736	0.8799	0.01536	0.4102
Methanobrevibacter thaueri	0.8597	0.8803	0.01506	1.368
Methanosphaera stadtmanae	0.8445	0.8806	0.01437	2.512
Methanobrevibacter ruminantium	0.8872	0.8796	0.01534	0.4954
Methanothermobacter wolfeii	0.8827	0.8797	0.01538	0.1951
Methanobacterium movilense	0.8916	0.8795	0.01528	0.7919
Methanobrevibacter olleyae	0.8775	0.8798	0.01538	0.1495
Methanobacterium palustre	0.8888	0.8796	0.01532	0.6005
Methanobacterium ferruginis	0.8876	0.8796	0.01534	0.5215
Methanobrevibacter cuticularis	0.8742	0.8799	0.01536	0.3711
Methanobacterium lacus	0.8834	0.8797	0.01538	0.2406
Methanobacterium veterum	0.9025	0.8793	0.01497	1.550
Methanobrevibacter boviskoreani	0.8631	0.8802	0.01517	1.127
Methanobacterium arcticum	0.8910	0.8795	0.01529	0.7521
Methanobrevibacter acididurans	0.8546	0.8804	0.01488	1.734
Methanobrevibacter curvatus	0.8713	0.8800	0.01533	0.5675
Methanobacterium aggregans	0.8962	0.8794	0.01517	1.107
Methanobacterium paludis	0.8957	0.8794	0.01519	1.073
Methanothermobacter thermoflexus	0.8846	0.8797	0.01537	0.3188
Methanobacterium alcaliphilum	0.8950	0.8794	0.01520	1.026
Methanothermobacter thermautotrophicus	0.8796	0.8798	0.01539	0.01300
Methanobacterium ivanovii	0.8676	0.8801	0.01527	0.8186
Methanobacterium subterraneum	0.8599	0.8803	0.01507	1.354
Methanobrevibacter woesei	0.8668	0.8801	0.01525	0.8721
Methanobrevibacter filiformis	0.8620	0.8802	0.01513	1.203
Methanothermobacter tenebrarum	0.8518	0.8805	0.01475	1.946
Methanobrevibacter wolinii	0.8574	0.8803	0.01499	1.528
