Methanoculleus palmolei	0.9056	0.8916	0.01611	0.8690
Methanoplanus endosymbiosus	0.8893	0.8923	0.01634	0.1836
Methanoculleus hydrogenitrophicus	0.9039	0.8917	0.01617	0.7545
Methanogenium cariaci	0.8972	0.8919	0.01632	0.3248
Methanomicrobium antiquum	0.8815	0.8926	0.01620	0.6852
Methanofollis liminatans	0.8851	0.8924	0.01628	0.4484
Methanofollis formosanus	0.8810	0.8926	0.01618	0.7169
Methanogenium frigidum	0.8932	0.8921	0.01635	0.06728
Methanoculleus receptaculi	0.9068	0.8915	0.01606	0.9527
Methanofollis aquaemaris	0.8694	0.8931	0.01565	1.514
Methanofollis ethanolicus	0.8763	0.8928	0.01601	1.031
Methanolacinia paynteri	0.8926	0.8921	0.01635	0.03058
Methanogenium marinum	0.8864	0.8924	0.01631	0.3679
Methanoculleus taiwanensis	0.9142	0.8912	0.01569	1.466
Methanoculleus horonobensis	0.9111	0.8914	0.01587	1.241
Methanoculleus bourgensis	0.9060	0.8916	0.01609	0.8950
Methanoplanus limicola	0.8807	0.8926	0.01618	0.7355
Methanoculleus thermophilus	0.9016	0.8918	0.01623	0.6038
Methanoculleus marisnigri	0.9150	0.8912	0.01564	1.522
Methanofollis tationis	0.8583	0.8936	0.01475	2.393
Methanoculleus sediminis	0.9131	0.8913	0.01576	1.383
Methanomicrobium mobile	0.8677	0.8932	0.01554	1.641
Methanoculleus chikugoensis	0.9082	0.8915	0.01600	1.044
Methanoculleus submarinus	0.8690	0.8931	0.01562	1.543
Methanolacinia petrolearia	0.8905	0.8922	0.01635	0.1040
