Methanosarcina horonobensis	0.9076	0.8905	0.01750	0.9771
Methanolobus vulcani	0.8837	0.8912	0.01770	0.4237
Methanomethylovorans hollandica	0.8952	0.8909	0.01773	0.2425
Methanohalobium evestigatum	0.8706	0.8916	0.01737	1.209
Methanosarcina semesiae	0.8923	0.8910	0.01775	0.07324
Methanococcoides methylutens	0.8946	0.8909	0.01774	0.2086
Methanolobus bombayensis	0.8855	0.8912	0.01772	0.3217
Methanohalophilus portucalensis	0.9000	0.8907	0.01767	0.5263
Methanosarcina siciliae	0.9185	0.8901	0.01705	1.666
Methanosarcina lacustris	0.9006	0.8907	0.01766	0.5606
Methanohalophilus halophilus	0.8939	0.8909	0.01774	0.1691
Methanosarcina mazei	0.9097	0.8904	0.01743	1.107
Methanolobus taylorii	0.8924	0.8909	0.01775	0.08451
Methanosarcina thermophila	0.9029	0.8906	0.01762	0.6981
Methanolobus profundi	0.8900	0.8910	0.01775	0.05634
Methanosarcina acetivorans	0.9012	0.8907	0.01765	0.5949
Methanococcoides burtonii	0.8918	0.8910	0.01775	0.04507
Methanosalsum zhilinae	0.8949	0.8909	0.01773	0.2256
Methanosarcina vacuolata	0.9169	0.8902	0.01713	1.559
Methanohalophilus mahii	0.8709	0.8916	0.01738	1.191
Methanosarcina soligelidi	0.9046	0.8906	0.01758	0.7964
Methanosarcina spelaei	0.9012	0.8907	0.01765	0.5949
Methanococcoides alaskense	0.8790	0.8914	0.01762	0.7037
Methanosarcina flavescens	0.8956	0.8908	0.01773	0.2707
Methanomethylovorans uponensis	0.8937	0.8909	0.01774	0.1578
Methanosarcina barkeri	0.8914	0.8910	0.01775	0.02254
Methanomethylovorans thermophila	0.8735	0.8915	0.01747	1.030
Methanosarcina baltica	0.8691	0.8917	0.01731	1.306
Methanolobus zinderi	0.9050	0.8906	0.01757	0.8196
Methanolobus chelungpuianus	0.8887	0.8911	0.01774	0.1353
Methanimicrococcus blatticola	0.8199	0.8932	0.01233	5.945
Methanosalsum natronophilum	0.8794	0.8914	0.01763	0.6807
Methanolobus oregonensis	0.8884	0.8911	0.01774	0.1522
