Methylocaldum tepidum	0.8497	0.8784	0.02835	1.012
Methylosphaera hansonii	0.8684	0.8780	0.02868	0.3347
Methylomonas lenta	0.8937	0.8773	0.02860	0.5734
Methylomarinovum caldicuralii	0.8149	0.8794	0.02680	2.407
Methylosoma difficile	0.8770	0.8777	0.02872	0.02437
Methylocaldum marinum	0.8502	0.8784	0.02836	0.9944
Methylomonas aurantiaca	0.8743	0.8778	0.02872	0.1219
Methylobacter marinus	0.9061	0.8770	0.02834	1.027
Methylobacter whittenburyi	0.9002	0.8771	0.02848	0.8111
Methyloparacoccus murrellii	0.8464	0.8785	0.02826	1.136
Methylocaldum gracile	0.8405	0.8787	0.02806	1.361
Methylomarinum vadi	0.8769	0.8777	0.02872	0.02786
Methylobacter tundripaludum	0.8989	0.8772	0.02851	0.7611
Methylococcus capsulatus	0.8612	0.8781	0.02859	0.5911
Methylogaea oryzae	0.8323	0.8789	0.02773	1.680
Methylomonas methanica	0.8987	0.8772	0.02851	0.7541
Methylomonas scandinavica	0.8871	0.8775	0.02868	0.3347
Methylohalobius crimeensis	0.8040	0.8796	0.02604	2.903
Methylomicrobium buryatense	0.9101	0.8769	0.02822	1.176
Methylomicrobium alcaliphilum	0.9106	0.8768	0.02821	1.198
Methylomicrobium pelagicum	0.9013	0.8771	0.02846	0.8503
Methylobacter psychrophilus	0.8977	0.8772	0.02853	0.7185
Methylomicrobium kenyense	0.8999	0.8771	0.02849	0.8003
Methylococcus mobilis	0.9080	0.8769	0.02829	1.099
Methylosarcina fibrata	0.9038	0.8770	0.02840	0.9437
Methylomonas fodinarum	0.8729	0.8778	0.02871	0.1707
Methylomonas paludis	0.8921	0.8773	0.02862	0.5171
Methylomicrobium agile	0.8918	0.8773	0.02863	0.5065
Methylomonas koyamae	0.8716	0.8779	0.02870	0.2195
Methylovulum psychrotolerans	0.8800	0.8776	0.02872	0.08357
Methyloglobulus morosus	0.8332	0.8789	0.02777	1.646
Methylocaldum szegediense	0.8458	0.8785	0.02824	1.158
Methylobacter luteus	0.9152	0.8767	0.02805	1.373
Methyloprofundus sedimenti	0.8760	0.8778	0.02872	0.06267
Methylosarcina quisquiliarum	0.9038	0.8770	0.02840	0.9437
Methylomagnum ishizawai	0.8526	0.8784	0.02842	0.9078
Methylosarcina lacus	0.9176	0.8767	0.02796	1.463
Methylomicrobium japanense	0.8888	0.8774	0.02866	0.3978
Methylomicrobium album	0.8773	0.8777	0.02872	0.01393
