Methylopila turkensis	0.9105	0.8932	0.03214	0.5383
Methylopila oligotropha	0.9099	0.8932	0.03216	0.5193
Chenggangzhangella methanolivorans	0.9014	0.8936	0.03228	0.2416
Methylopila henanensis	0.9023	0.8935	0.03228	0.2726
Methylosinus sporium	0.9024	0.8935	0.03227	0.2758
Hansschlegelia zhihuaiae	0.8958	0.8938	0.03232	0.06188
Pleomorphomonas oryzae	0.8915	0.8940	0.03232	0.07735
Chthonobacter albigriseus	0.8811	0.8944	0.03222	0.4128
Methylocystis bryophila	0.8977	0.8937	0.03231	0.1238
Hartmannibacter diazotrophicus	0.8814	0.8944	0.03222	0.4035
Methylocystis echinoides	0.9014	0.8936	0.03228	0.2416
Albibacter methylovorans	0.8967	0.8938	0.03232	0.08973
Methylosinus trichosporium	0.8932	0.8939	0.03232	0.02166
Terasakiella brassicae	0.8205	0.8968	0.02865	2.663
Methylopila jiangsuensis	0.9017	0.8936	0.03228	0.2509
Methylopila musalis	0.8985	0.8937	0.03231	0.1486
Hansschlegelia plantiphila	0.8748	0.8946	0.03209	0.6170
Pleomorphomonas diazotrophica	0.8852	0.8942	0.03227	0.2789
Pleomorphomonas koreensis	0.8776	0.8945	0.03215	0.5257
Terasakiella pusilla	0.8044	0.8975	0.02668	3.490
Methylocystis parvus	0.9219	0.8928	0.03181	0.9148
Hansschlegelia beijingensis	0.8975	0.8937	0.03231	0.1176
Oharaeibacter diazotrophicus	0.8803	0.8944	0.0322	0.4379
Methylopila capsulata	0.8860	0.8942	0.03228	0.2540
Methylocystis rosea	0.9675	0.8909	0.02862	2.676
Methylocystis hirsuta	0.9597	0.8912	0.02940	2.330
