Methylovorus menthalis	0.9346	0.9314	0.01154	0.2773
Methylobacillus gramineus	0.9318	0.9316	0.01156	0.01730
Methylophilus flavus	0.9353	0.9314	0.01152	0.3385
Methylophilus glucosoxydans	0.9293	0.9318	0.01155	0.2165
Methylobacillus methanolivorans	0.9365	0.9313	0.01149	0.4526
Methylotenera mobilis	0.9068	0.9332	0.00963	2.741
Methylophilus rhizosphaerae	0.9336	0.9315	0.01155	0.1818
Methylotenera versatilis	0.9068	0.9332	0.00963	2.741
Methylobacillus flagellatus	0.9303	0.9317	0.01156	0.1211
Methylophilus leisingeri	0.9340	0.9315	0.01154	0.2166
Methylobacillus rhizosphaerae	0.9458	0.9307	0.01097	1.376
Methylobacillus pratensis	0.9195	0.9324	0.01113	1.159
Methylobacillus glycogenes	0.9372	0.9313	0.01147	0.5144
Methylovorus mays	0.9453	0.9308	0.01101	1.317
Methylophilus methylotrophus	0.9470	0.9307	0.01086	1.501
Methylobacillus arboreus	0.9364	0.9313	0.01150	0.4435
Methylovorus glucosotrophus	0.9274	0.9319	0.01151	0.3910
