Arthrobacter gandavensis	0.9189	0.9160	0.01926	0.1506
Kocuria polaris	0.9268	0.9159	0.01925	0.5662
Nesterenkonia populi	0.9008	0.9161	0.01923	0.7956
Renibacterium salmoninarum	0.9025	0.9161	0.01924	0.7069
Paenarthrobacter histidinolovorans	0.9254	0.9159	0.01925	0.4935
Kocuria kristinae	0.9114	0.9160	0.01926	0.2388
Paeniglutamicibacter gangotriensis	0.9172	0.9160	0.01927	0.06227
Citricoccus parietis	0.9211	0.9160	0.01926	0.2648
Nesterenkonia rhizosphaerae	0.9084	0.9160	0.01926	0.3946
Arthrobacter psychrolactophilus	0.9063	0.9160	0.01925	0.5039
Nesterenkonia lutea	0.9192	0.9160	0.01926	0.1661
Paenarthrobacter nicotinovorans	0.9303	0.9159	0.01923	0.7488
Nesterenkonia halotolerans	0.9136	0.9160	0.01926	0.1246
Sinomonas mesophila	0.9090	0.9160	0.01926	0.3634
Tersicoccus phoenicis	0.9078	0.9160	0.01926	0.4258
Arthrobacter psychrochitiniphilus	0.9139	0.9160	0.01926	0.1090
Arthrobacter bambusae	0.9302	0.9159	0.01923	0.7436
Neomicrococcus aestuarii	0.9264	0.9159	0.01925	0.5455
Micrococcus terreus	0.9336	0.9159	0.01922	0.9209
Micrococcus cohnii	0.9191	0.9160	0.01926	0.1610
Kocuria varians	0.9113	0.9160	0.01926	0.2440
Kocuria palustris	0.9186	0.9160	0.01926	0.1350
Arthrobacter pityocampae	0.8979	0.9161	0.01922	0.9469
Tersicoccus solisilvae	0.9075	0.9160	0.01925	0.4416
Arthrobacter tecti	0.9207	0.9160	0.01926	0.2440
Kocuria himachalensis	0.9160	0.9160	0.01927	0E+1
Citricoccus nitrophenolicus	0.9286	0.9159	0.01924	0.6601
Arthrobacter ginkgonis	0.9204	0.9160	0.01926	0.2285
Arthrobacter crystallopoietes	0.9297	0.9159	0.01924	0.7173
Yaniella halotolerans	0.9018	0.9161	0.01923	0.7436
Micrococcus lylae	0.9185	0.9160	0.01926	0.1298
Arthrobacter methylotrophus	0.9277	0.9159	0.01924	0.6133
Nesterenkonia aurantiaca	0.9146	0.9160	0.01927	0.07265
Kocuria marina	0.9113	0.9160	0.01926	0.2440
Arthrobacter nanjingensis	0.9265	0.9159	0.01925	0.5506
Arthrobacter chlorophenolicus	0.9313	0.9159	0.01923	0.8008
Zhihengliuella halotolerans	0.9182	0.9160	0.01926	0.1142
Rothia aeria	0.9020	0.9161	0.01924	0.7328
Arthrobacter livingstonensis	0.9118	0.9160	0.01926	0.2181
Nesterenkonia alba	0.9006	0.9161	0.01923	0.8060
Kocuria arsenatis	0.8986	0.9161	0.01922	0.9105
Pseudarthrobacter chlorophenolicus	0.9336	0.9159	0.01922	0.9209
Yaniella flava	0.9011	0.9161	0.01923	0.7800
Rothia amarae	0.8992	0.9161	0.01922	0.8793
Kocuria subflava	0.9219	0.9159	0.01926	0.3115
Glutamicibacter mysorens	0.9256	0.9159	0.01925	0.5039
Paenarthrobacter ilicis	0.9232	0.9159	0.01926	0.3790
Arthrobacter agilis	0.9191	0.9160	0.01926	0.1610
Kocuria rosea	0.9271	0.9159	0.01925	0.5818
Micrococcus flavus	0.9155	0.9160	0.01927	0.02595
Arthrobacter humicola	0.9261	0.9159	0.01925	0.5299
Arthrobacter liuii	0.9156	0.9160	0.01927	0.02076
Arthrobacter echini	0.9076	0.9160	0.01925	0.4364
Pseudarthrobacter scleromae	0.9262	0.9159	0.01925	0.5351
Paeniglutamicibacter kerguelensis	0.9193	0.9160	0.01926	0.1713
Zhihengliuella alba	0.9231	0.9159	0.01926	0.3738
Nesterenkonia flava	0.9079	0.9160	0.01926	0.4206
Rothia aerolata	0.9074	0.9160	0.01925	0.4468
Arthrobacter globiformis	0.9334	0.9159	0.01922	0.9105
Arthrobacter oryzae	0.9282	0.9159	0.01924	0.6393
Arthrobacter parietis	0.9196	0.9160	0.01926	0.1869
Nesterenkonia alkaliphila	0.9026	0.9161	0.01924	0.7017
Arthrobacter pascens	0.9321	0.9159	0.01923	0.8424
Arthrobacter stackebrandtii	0.9120	0.9160	0.01926	0.2077
Kocuria carniphila	0.9166	0.9160	0.01927	0.03114
Nesterenkonia suensis	0.9007	0.9161	0.01923	0.8008
Glutamicibacter bergerei	0.9219	0.9159	0.01926	0.3115
Rhizobium viscosum	0.7102	0.9172	0.01105	18.73
Arthrobacter woluwensis	0.9303	0.9159	0.01923	0.7488
Citricoccus zhacaiensis	0.9261	0.9159	0.01925	0.5299
Kocuria rhizophila	0.9135	0.9160	0.01926	0.1298
Sinomonas halotolerans	0.9096	0.9160	0.01926	0.3323
Sinomonas albida	0.8959	0.9161	0.01920	1.052
Paenarthrobacter ureafaciens	0.9196	0.9160	0.01926	0.1869
Arthrobacter castelli	0.9095	0.9160	0.01926	0.3375
Arthrobacter tumbae	0.9229	0.9159	0.01926	0.3634
Nesterenkonia xinjiangensis	0.9073	0.9160	0.01925	0.4519
Arthrobacter halodurans	0.9180	0.9160	0.01926	0.1038
Arthrobacter citreus	0.9155	0.9160	0.01927	0.02595
