Haloterrigena hispanica	0.9203	0.9174	0.01511	0.1919
Haloterrigena thermotolerans	0.9277	0.9172	0.01505	0.6977
Haloterrigena salina	0.9143	0.9175	0.01511	0.2118
Natronococcus occultus	0.9080	0.9176	0.01506	0.6375
Natrinema gari	0.9227	0.9173	0.01510	0.3576
Halostagnicola alkaliphila	0.9094	0.9176	0.01507	0.5441
Natrinema versiforme	0.9239	0.9173	0.01509	0.4374
Natronococcus roseus	0.9247	0.9173	0.01508	0.4907
Halovivax cerinus	0.8996	0.9178	0.01491	1.221
Halopiger salifodinae	0.9089	0.9176	0.01507	0.5773
Natronolimnobius baerhuensis	0.9098	0.9176	0.01508	0.5172
Natrinema ejinorense	0.9129	0.9175	0.01510	0.3046
Natronococcus jeotgali	0.9014	0.9177	0.01495	1.090
Halovivax ruber	0.9009	0.9177	0.01494	1.124
Natronobacterium gregoryi	0.9055	0.9176	0.01502	0.8056
Natronorubrum texcoconense	0.8957	0.9178	0.01481	1.492
Natrialba aegyptia	0.9208	0.9174	0.01511	0.2250
Natrinema pallidum	0.9198	0.9174	0.01511	0.1588
Natrialba magadii	0.9103	0.9176	0.01508	0.4841
Natronobacterium texcoconense	0.9108	0.9175	0.01509	0.4440
Halobiforma nitratireducens	0.9070	0.9176	0.01505	0.7043
Halovivax limisalsi	0.8984	0.9178	0.01488	1.304
Natrialba asiatica	0.9149	0.9175	0.01511	0.1721
Salinarchaeum laminariae	0.8550	0.9186	0.01239	5.133
Halobiforma haloterrestris	0.9129	0.9175	0.01510	0.3046
Halopiger thermotolerans	0.9150	0.9175	0.01511	0.1655
Natronolimnobius innermongolicus	0.9234	0.9173	0.01509	0.4042
Natrinema altunense	0.9258	0.9173	0.01507	0.5640
Natrinema salaciae	0.9284	0.9172	0.01504	0.7447
Halovivax asiaticus	0.9016	0.9177	0.01495	1.077
Halopiger goleimassiliensis	0.9188	0.9174	0.01511	0.09265
Natronococcus amylolyticus	0.9096	0.9176	0.01508	0.5305
Halopiger xanaduensis	0.9156	0.9175	0.01511	0.1257
Halobiforma lacisalsi	0.9123	0.9175	0.01510	0.3444
Halopiger djelfimassiliensis	0.9180	0.9174	0.01511	0.03971
Natrialba taiwanensis	0.9223	0.9173	0.01510	0.3311
Natronorubrum tibetense	0.9287	0.9172	0.01503	0.7651
Natrialba chahannaoensis	0.9298	0.9172	0.01502	0.8389
Natronorubrum sulfidifaciens	0.9259	0.9173	0.01507	0.5707
Halostagnicola kamekurae	0.9159	0.9175	0.01511	0.1059
Haloterrigena limicola	0.9391	0.9170	0.01481	1.492
Natronorubrum aibiense	0.9194	0.9174	0.01511	0.1324
Natrinema pellirubrum	0.9262	0.9173	0.01507	0.5906
Halostagnicola bangensis	0.8985	0.9178	0.01489	1.296
Halostagnicola larsenii	0.9182	0.9174	0.01511	0.05295
Haloterrigena saccharevitans	0.9404	0.9170	0.01478	1.583
Natronorubrum bangense	0.9259	0.9173	0.01507	0.5707
Haloterrigena jeotgali	0.9392	0.9170	0.01481	1.499
Natronorubrum sediminis	0.9420	0.9170	0.01473	1.697
Haloterrigena longa	0.9317	0.9172	0.01498	0.9680
Halopiger aswanensis	0.9123	0.9175	0.01510	0.3444
Natrialba hulunbeirensis	0.9382	0.9170	0.01484	1.429
Haloterrigena turkmenica	0.9521	0.9168	0.01433	2.463
Haloterrigena mahii	0.9310	0.9172	0.01500	0.92
