Neisseria gonorrhoeae	0.9191	0.9078	0.02696	0.4191
Neisseria shayeganii	0.9295	0.9076	0.02680	0.8172
Kingella kingae	0.9114	0.9080	0.02701	0.1259
Neisseria subflava	0.9300	0.9075	0.02679	0.8399
Neisseria animaloris	0.9217	0.9078	0.02693	0.5162
Bergeriella denitrificans	0.9234	0.9077	0.02691	0.5834
Uruburuella suis	0.9089	0.9081	0.02702	0.02961
Conchiformibius steedae	0.8984	0.9084	0.02697	0.3708
Neisseria dentiae	0.9119	0.9080	0.02701	0.1444
Snodgrassella alvi	0.9020	0.9083	0.02700	0.2333
Neisseria polysaccharea	0.9244	0.9077	0.02689	0.6210
Neisseria flavescens	0.9149	0.9079	0.02700	0.2593
Kingella potus	0.9139	0.9080	0.02700	0.2185
Uruburuella testudinis	0.9112	0.9080	0.02702	0.1184
Kingella oralis	0.9086	0.9081	0.02702	0.01850
Neisseria zoodegmatis	0.9188	0.9078	0.02696	0.4080
Neisseria elongata subsp. elongata	0.9129	0.9080	0.02701	0.1814
Neisseria lactamica	0.9028	0.9082	0.02701	0.1999
Stenoxybacter acetivorans	0.8844	0.9087	0.02675	0.9084
Alysiella crassa	0.9022	0.9083	0.02700	0.2259
Vitreoscilla filiformis	0.8089	0.9106	0.02171	4.684
Neisseria wadsworthii	0.9233	0.9077	0.02691	0.5797
Conchiformibius kuhniae	0.9038	0.9082	0.02701	0.1629
Neisseria sicca	0.9197	0.9078	0.02695	0.4416
Neisseria weaveri	0.9278	0.9076	0.02683	0.7529
Vitreoscilla stercoraria	0.8877	0.9086	0.02682	0.7793
Crenobacter luteus	0.8551	0.9095	0.02562	2.123
Simonsiella muelleri	0.9072	0.9081	0.02702	0.03331
Eikenella corrodens	0.9171	0.9079	0.02698	0.3410
Neisseria canis	0.9190	0.9078	0.02696	0.4154
Kingella denitrificans	0.9079	0.9081	0.02702	0.007402
Rivicola pingtungensis	0.8614	0.9093	0.02594	1.847
Neisseria cinerea	0.9290	0.9076	0.02681	0.7982
Neisseria arctica	0.9171	0.9079	0.02698	0.3410
Amantichitinum ursilacus	0.8346	0.9100	0.02425	3.109
Alysiella filiformis	0.9128	0.9080	0.02701	0.1777
Neisseria bacilliformis	0.9206	0.9078	0.02694	0.4751
Neisseria animalis	0.9543	0.9069	0.02596	1.826
Neisseria oralis	0.9345	0.9074	0.02668	1.016
Neisseria iguanae	0.9320	0.9075	0.02674	0.9162
